|                     Parameters |                     0 |                      1 |   2 |   3 |   4 |                      5 |   6 |   7 |                      8 |                      9 |  10 |
|             msh.spectral.index |   0.27648867796928556 |  4.253217554725334e-13 | 0.0 | 0.0 | 0.0 |   0.002668073853114154 | 0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
|         msh.spectral.amplitude | 4.253217554725334e-13 | 4.3816834996333696e-24 | 0.0 | 0.0 | 0.0 | 1.1653374184530615e-13 | 0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
|         msh.spectral.reference |                   0.0 |                    0.0 | 0.0 | 0.0 | 0.0 |                    0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
|              msh.spatial.lon_0 |                   0.0 |                    0.0 | 0.0 | 0.0 | 0.0 |                    0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
|              msh.spatial.lat_0 |                   0.0 |                    0.0 | 0.0 | 0.0 | 0.0 |                    0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
|              msh.spatial.sigma |  0.002668073853114154 | 1.1653374184530615e-13 | 0.0 | 0.0 | 0.0 |   0.008850346893412443 | 0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
|                  msh.spatial.e |                   0.0 |                    0.0 | 0.0 | 0.0 | 0.0 |                    0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
|                msh.spatial.phi |                   0.0 |                    0.0 | 0.0 | 0.0 | 0.0 |                    0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
|      dataset-bkg.spectral.norm |                   0.0 |                    0.0 | 0.0 | 0.0 | 0.0 |                    0.0 | 0.0 | 0.0 |  0.0005916643737948874 | 2.7350237963418868e-05 | 0.0 |
|      dataset-bkg.spectral.tilt |                   0.0 |                    0.0 | 0.0 | 0.0 | 0.0 |                    0.0 | 0.0 | 0.0 | 2.7350237963418868e-05 |  0.0006051107001605715 | 0.0 |
| dataset-bkg.spectral.reference |                   0.0 |                    0.0 | 0.0 | 0.0 | 0.0 |                    0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
