|                    Parameters |                      0 |                      1 |   2 |   3 |   4 |                     5 |   6 |   7 |   8 |   9 |  10 |  11 |  12 |                      13 |                      14 |                      15 |                      16 |                      17 |                      18 |                     19 |                      20 |                      21 |                      22 |                      23 |                      24 |                      25 |                      26 |                     27 |                      28 |                      29 |                      30 |                      31 |                      32 |
|            msh.spectral.index |    0.12654719586044785 | 1.9728940096224508e-13 | 0.0 | 0.0 | 0.0 | 0.0013045290291533555 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                    0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                    0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |
|        msh.spectral.amplitude | 1.9728940096224508e-13 |  2.070677564527461e-24 | 0.0 | 0.0 | 0.0 | 5.535279750541481e-14 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                    0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                    0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |
|        msh.spectral.reference |                    0.0 |                    0.0 | 0.0 | 0.0 | 0.0 |                   0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                    0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                    0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |
|             msh.spatial.lon_0 |                    0.0 |                    0.0 | 0.0 | 0.0 | 0.0 |                   0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                    0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                    0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |
|             msh.spatial.lat_0 |                    0.0 |                    0.0 | 0.0 | 0.0 | 0.0 |                   0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                    0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                    0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |
|             msh.spatial.sigma |  0.0013045290291533555 |  5.535279750541481e-14 | 0.0 | 0.0 | 0.0 |  0.004145658614884494 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                    0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                    0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |
|                 msh.spatial.e |                    0.0 |                    0.0 | 0.0 | 0.0 | 0.0 |                   0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                    0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                    0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |
|               msh.spatial.phi |                    0.0 |                    0.0 | 0.0 | 0.0 | 0.0 |                   0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                    0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                    0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |
|  dataset_N-bkg.spectral._norm |                    0.0 |                    0.0 | 0.0 | 0.0 | 0.0 |                   0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                    0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                    0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |
|  dataset_N-bkg.spectral.norm0 |                    0.0 |                    0.0 | 0.0 | 0.0 | 0.0 |                   0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                    0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                    0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |
|  dataset_N-bkg.spectral.norm1 |                    0.0 |                    0.0 | 0.0 | 0.0 | 0.0 |                   0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                    0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                    0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |
|  dataset_N-bkg.spectral.norm2 |                    0.0 |                    0.0 | 0.0 | 0.0 | 0.0 |                   0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                    0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                    0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |
|  dataset_N-bkg.spectral.norm3 |                    0.0 |                    0.0 | 0.0 | 0.0 | 0.0 |                   0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                    0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                    0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |
|  dataset_N-bkg.spectral.norm4 |                    0.0 |                    0.0 | 0.0 | 0.0 | 0.0 |                   0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |    0.001985914324910619 |   0.0003727469327404993 | -0.00021946415368094817 | -2.9768795307088056e-05 |   0.0001026180113616842 |   7.824705038989648e-06 |  -3.72236722867959e-05 |  1.0378991633441342e-05 |  2.7004471664471526e-05 |  2.0403903203173295e-06 |  -9.169449528239666e-06 |   -9.54617080623483e-07 |  3.6628270284560854e-06 | -1.5671364821521554e-07 | -4.022991950711429e-06 |  -4.306694099139957e-06 |  -3.111034470701878e-06 |  -2.334289790079193e-06 |  -1.990936321077824e-06 |  -1.598978163839164e-06 |
|  dataset_N-bkg.spectral.norm5 |                    0.0 |                    0.0 | 0.0 | 0.0 | 0.0 |                   0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |   0.0003727469327404993 |   0.0009695398851503526 |   0.0004928914409311983 |  -9.003214763389473e-05 | -0.00010698206097384701 |   7.453580768925607e-05 |  5.912385386243848e-05 | -2.4456285566925813e-05 | -1.5595046452961136e-05 |  2.0966334222914514e-05 |   1.585748739691043e-05 |  -3.650699142737245e-06 |  -6.263983508102954e-06 |  2.7015421951054363e-07 | 2.2266014730997912e-06 | -3.9988738000956034e-07 | -2.6156904789595754e-06 | -2.8174339767189856e-06 | -2.0371537052590894e-06 | -1.2453148005836312e-06 |
|  dataset_N-bkg.spectral.norm6 |                    0.0 |                    0.0 | 0.0 | 0.0 | 0.0 |                   0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | -0.00021946415368094817 |   0.0004928914409311983 |   0.0010047588177531325 |   0.0006254530720304536 |  -2.621578492002473e-05 |   -0.000146913246679186 |  5.770397055241816e-05 |   9.277207550216936e-05 |  -6.985556451280924e-06 | -2.8486365197270002e-05 |  1.3025309494758497e-05 |  2.4000525629780607e-05 |   4.764781353869086e-06 |  -5.869339072114786e-06 | -1.805756257380139e-06 |  3.2397002811291515e-06 |  3.2843738581862868e-06 |  1.1414128578740905e-06 | -2.2655247331310652e-07 | -4.7079489489443483e-07 |
|  dataset_N-bkg.spectral.norm7 |                    0.0 |                    0.0 | 0.0 | 0.0 | 0.0 |                   0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | -2.9768795307088056e-05 |  -9.003214763389473e-05 |   0.0006254530720304536 |    0.001160051341796683 |   0.0007096757922997336 | -4.7488453666356424e-05 | -0.0001947419064088745 |   5.251142637008088e-05 |  0.00011540124216497815 |   2.326324867968411e-06 | -3.6808021984229335e-05 |   7.524678237198368e-06 |   2.958715261789963e-05 |  1.3090018615630576e-05 | -2.289153261255264e-06 | -1.8675257379283479e-06 |  3.5915515935585815e-06 |  5.4730093409789595e-06 |   4.080611077968794e-06 |  2.1675051690932986e-06 |
|  dataset_N-bkg.spectral.norm8 |                    0.0 |                    0.0 | 0.0 | 0.0 | 0.0 |                   0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |   0.0001026180113616842 | -0.00010698206097384701 |  -2.621578492002473e-05 |   0.0007096757922997336 |   0.0012653782387149735 |   0.0008049559279386725 | -2.977415317143183e-05 |  -0.0002384079893887361 |  2.7269559271850222e-05 |  0.00013282427819282148 |  2.1361240357256214e-05 |   -4.10781120858849e-05 | -3.1438703985428055e-06 |   3.102176909916768e-05 | 2.3256271288099287e-05 |   5.445430275151152e-06 | -2.0227344534591577e-08 |  2.7758032847632536e-06 |   5.041239328783457e-06 |   4.515408006310233e-06 |
|  dataset_N-bkg.spectral.norm9 |                    0.0 |                    0.0 | 0.0 | 0.0 | 0.0 |                   0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |   7.824705038989648e-06 |   7.453580768925607e-05 |   -0.000146913246679186 | -4.7488453666356424e-05 |   0.0008049559279386725 |    0.001505310362500668 |  0.0010434888970259901 |   4.637679227955894e-05 |  -0.0002954140871233189 |  -1.784590925090642e-05 |  0.00015457903535283967 |   5.408084272762694e-05 |  -4.144717754490229e-05 | -1.9914773776540823e-05 |  2.637195572685068e-05 |   3.318836605208341e-05 |   1.701877504070703e-05 |    5.29280019857484e-06 |   2.700280926327451e-06 |   3.116142167970036e-06 |
| dataset_N-bkg.spectral.norm10 |                    0.0 |                    0.0 | 0.0 | 0.0 | 0.0 |                   0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |   -3.72236722867959e-05 |   5.912385386243848e-05 |   5.770397055241816e-05 |  -0.0001947419064088745 |  -2.977415317143183e-05 |   0.0010434888970259901 |  0.0019389634314226681 |   0.0014004855542876567 |  0.00012970094369868534 |  -0.0003856063552232852 |  -7.633691928327725e-05 |   0.0001845126081794546 |   9.852066421518624e-05 |  -3.671738526796408e-05 | -4.004292518785781e-05 |  1.4044448568095818e-05 |  3.7495507886241844e-05 |   2.784465113169104e-05 |  1.2828843709752407e-05 |   4.815892164737769e-06 |
| dataset_N-bkg.spectral.norm11 |                    0.0 |                    0.0 | 0.0 | 0.0 | 0.0 |                   0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  1.0378991633441342e-05 | -2.4456285566925813e-05 |   9.277207550216936e-05 |   5.251142637008088e-05 |  -0.0002384079893887361 |   4.637679227955894e-05 |  0.0014004855542876567 |    0.002473566490571219 |   0.0017984995484845371 |  0.00021612661843296903 | -0.00048806982419082246 | -0.00015209930390875566 |  0.00020900213235801703 |  0.00015658806464048506 | -1.465314849002614e-05 |  -5.652628993636782e-05 |  -8.594686861036141e-06 |    2.84911484497726e-05 |  3.0433364887335236e-05 |   1.798347576146223e-05 |
| dataset_N-bkg.spectral.norm12 |                    0.0 |                    0.0 | 0.0 | 0.0 | 0.0 |                   0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  2.7004471664471526e-05 | -1.5595046452961136e-05 |  -6.985556451280924e-06 |  0.00011540124216497815 |  2.7269559271850222e-05 |  -0.0002954140871233189 | 0.00012970094369868534 |   0.0017984995484845371 |   0.0030880865376392776 |   0.0022907072792250583 |   0.0003608097691165316 |  -0.0005947303721087336 | -0.00026526993215890036 |   0.0002130005759841865 |  0.0002290157251895357 |   3.618124464494962e-05 | -5.6057114341784686e-05 |  -3.375216268016325e-05 |   6.044897364673973e-06 |  1.9609134758399106e-05 |
| dataset_N-bkg.spectral.norm13 |                    0.0 |                    0.0 | 0.0 | 0.0 | 0.0 |                   0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  2.0403903203173295e-06 |  2.0966334222914514e-05 | -2.8486365197270002e-05 |   2.326324867968411e-06 |  0.00013282427819282148 |  -1.784590925090642e-05 | -0.0003856063552232852 |  0.00021612661843296903 |   0.0022907072792250583 |    0.003885367894341558 |   0.0029752647987039233 |   0.0006089215606209824 |  -0.0007160738144933352 |  -0.0004509018751505151 | 0.00016723640124239735 |  0.00030517454099525225 |   0.0001224958981225877 | -2.2594858300882343e-05 | -4.5005838084648894e-05 | -1.8588523471320936e-05 |
| dataset_N-bkg.spectral.norm14 |                    0.0 |                    0.0 | 0.0 | 0.0 | 0.0 |                   0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  -9.169449528239666e-06 |   1.585748739691043e-05 |  1.3025309494758497e-05 | -3.6808021984229335e-05 |  2.1361240357256214e-05 |  0.00015457903535283967 | -7.633691928327725e-05 | -0.00048806982419082246 |   0.0003608097691165316 |   0.0029752647987039233 |    0.004978658497217614 |    0.003936234731743923 |    0.001000641342317614 |  -0.0008451624888325153 | -0.0007292063073344302 |  3.0003373344200977e-05 |  0.00034152250531154383 |  0.00022081386875740075 |   4.618152223061724e-05 |  -2.422250544794823e-05 |
| dataset_N-bkg.spectral.norm15 |                    0.0 |                    0.0 | 0.0 | 0.0 | 0.0 |                   0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |   -9.54617080623483e-07 |  -3.650699142737245e-06 |  2.4000525629780607e-05 |   7.524678237198368e-06 |   -4.10781120858849e-05 |   5.408084272762694e-05 |  0.0001845126081794546 | -0.00015209930390875566 |  -0.0005947303721087336 |   0.0006089215606209824 |    0.003936234731743923 |    0.006487341840490381 |    0.005324648879108162 |   0.0016828787673225023 | -0.0008975204585171866 |  -0.0011019839050714596 | -0.00025741808318131495 |  0.00026899974713187174 |   0.0002814080974339473 |  0.00012709907308832672 |
| dataset_N-bkg.spectral.norm16 |                    0.0 |                    0.0 | 0.0 | 0.0 | 0.0 |                   0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  3.6628270284560854e-06 |  -6.263983508102954e-06 |   4.764781353869086e-06 |   2.958715261789963e-05 | -3.1438703985428055e-06 |  -4.144717754490229e-05 |  9.852066421518624e-05 |  0.00020900213235801703 | -0.00026526993215890036 |  -0.0007160738144933352 |    0.001000641342317614 |    0.005324648879108162 |    0.008685028125201883 |    0.007460560846842455 |   0.002922783031814945 |  -0.0007055346186427507 |   -0.001497597446090813 |  -0.0006994302419759132 |   3.401101423881712e-05 |  0.00023400601601783824 |
| dataset_N-bkg.spectral.norm17 |                    0.0 |                    0.0 | 0.0 | 0.0 | 0.0 |                   0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | -1.5671364821521554e-07 |  2.7015421951054363e-07 |  -5.869339072114786e-06 |  1.3090018615630576e-05 |   3.102176909916768e-05 | -1.9914773776540823e-05 | -3.671738526796408e-05 |  0.00015658806464048506 |   0.0002130005759841865 |  -0.0004509018751505151 |  -0.0008451624888325153 |   0.0016828787673225023 |    0.007460560846842455 |    0.011999814342553268 |    0.01078727191832897 |   0.0051163508357471256 |  4.0694124810361455e-05 |  -0.0017180007048781937 |  -0.0012101042964108592 |  -0.0003606988333630493 |
