|                      Parameters |                       0 |                     1 |   2 |   3 |   4 |                       5 |   6 |   7 |                     8 |   9 |  10 |
|         TBuIEiYi.spectral.index |    0.002209797435646561 | 2.084415166355401e-15 | 0.0 | 0.0 | 0.0 | -2.2432111920411674e-06 | 0.0 | 0.0 |                   0.0 | 0.0 | 0.0 |
|     TBuIEiYi.spectral.amplitude |   2.084415166355401e-15 | 3.531934489924533e-27 | 0.0 | 0.0 | 0.0 |   6.498722754740491e-18 | 0.0 | 0.0 |                   0.0 | 0.0 | 0.0 |
|     TBuIEiYi.spectral.reference |                     0.0 |                   0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 | 0.0 |                   0.0 | 0.0 | 0.0 |
|          TBuIEiYi.spatial.lon_0 |                     0.0 |                   0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 | 0.0 |                   0.0 | 0.0 | 0.0 |
|          TBuIEiYi.spatial.lat_0 |                     0.0 |                   0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 | 0.0 |                   0.0 | 0.0 | 0.0 |
|          TBuIEiYi.spatial.sigma | -2.2432111920411674e-06 | 6.498722754740491e-18 | 0.0 | 0.0 | 0.0 |  1.1397217216043942e-05 | 0.0 | 0.0 |                   0.0 | 0.0 | 0.0 |
|              TBuIEiYi.spatial.e |                     0.0 |                   0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 | 0.0 |                   0.0 | 0.0 | 0.0 |
|            TBuIEiYi.spatial.phi |                     0.0 |                   0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 | 0.0 |                   0.0 | 0.0 | 0.0 |
|      _Ea7PENC-bkg.spectral.norm |                     0.0 |                   0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0001605099229011894 | 0.0 | 0.0 |
|      _Ea7PENC-bkg.spectral.tilt |                     0.0 |                   0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 | 0.0 |                   0.0 | 0.0 | 0.0 |
| _Ea7PENC-bkg.spectral.reference |                     0.0 |                   0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 | 0.0 |                   0.0 | 0.0 | 0.0 |
