|                     Parameters |                      0 |                      1 |   2 |                       3 |   4 |   5 |   6 |                       7 |   8 |   9 |                     10 |                    11 |  12 |
|         Crablog.spectral.index |   0.010645176357757849 | -1.775735249543418e-15 | 0.0 |   -0.000870991624296927 | 0.0 | 0.0 | 0.0 |   7.455407087284106e-05 | 0.0 | 0.0 |                    0.0 |                   0.0 | 0.0 |
|     Crablog.spectral.amplitude | -1.775735249543418e-15 |  7.290596810298833e-26 | 0.0 |  1.0839212054394518e-15 | 0.0 | 0.0 | 0.0 |  3.1531219069256378e-15 | 0.0 | 0.0 |                    0.0 |                   0.0 | 0.0 |
|     Crablog.spectral.reference |                    0.0 |                    0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 | 0.0 |                    0.0 |                   0.0 | 0.0 |
|       Crablog.spectral.lambda_ |  -0.000870991624296927 | 1.0839212054394518e-15 | 0.0 |   0.0002800056303081288 | 0.0 | 0.0 | 0.0 | -1.6889209172680618e-05 | 0.0 | 0.0 |                    0.0 |                   0.0 | 0.0 |
|         Crablog.spectral.alpha |                    0.0 |                    0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 | 0.0 |                    0.0 |                   0.0 | 0.0 |
|          Crablog.spatial.lon_0 |                    0.0 |                    0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 | 0.0 |                    0.0 |                   0.0 | 0.0 |
|          Crablog.spatial.lat_0 |                    0.0 |                    0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 | 0.0 |                    0.0 |                   0.0 | 0.0 |
|          Crablog.spatial.sigma |  7.455407087284106e-05 | 3.1531219069256378e-15 | 0.0 | -1.6889209172680618e-05 | 0.0 | 0.0 | 0.0 |  0.00031732425057583326 | 0.0 | 0.0 |                    0.0 |                   0.0 | 0.0 |
|              Crablog.spatial.e |                    0.0 |                    0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 | 0.0 |                    0.0 |                   0.0 | 0.0 |
|            Crablog.spatial.phi |                    0.0 |                    0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 | 0.0 |                    0.0 |                   0.0 | 0.0 |
|      dataset-bkg.spectral.norm |                    0.0 |                    0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 3.0741885878662495e-06 | 2.208357499985587e-07 | 0.0 |
|      dataset-bkg.spectral.tilt |                    0.0 |                    0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 | 0.0 |  2.208357499985587e-07 |  3.04882809480143e-06 | 0.0 |
| dataset-bkg.spectral.reference |                    0.0 |                    0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 | 0.0 |                    0.0 |                   0.0 | 0.0 |
