|                    Parameters |                       0 |                      1 |   2 |                      3 |   4 |                      5 |                       6 |                      7 |   8 |   9 |  10 |  11 |  12 |  13 |  14 |                      15 |                      16 |                      17 |                      18 |                      19 |                      20 |                      21 |                      22 |                      23 |                      24 |                      25 |                      26 |                      27 |                      28 |                      29 |                      30 |                      31 |                      32 |                      33 |                      34 |
|        Crablog.spectral.index |      0.4494301503375977 | -4.235571864304955e-13 | 0.0 |   -0.08766940979537599 | 0.0 | 1.0413252701263233e-05 | -0.00017318409898585556 |  -0.002808971201885609 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |
|    Crablog.spectral.amplitude |  -4.235571864304955e-13 |  7.667043701527991e-24 | 0.0 |  4.259543217947872e-13 | 0.0 | -6.887556097994801e-16 |   2.688845580662836e-15 | 2.2430545816463744e-13 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |
|    Crablog.spectral.reference |                     0.0 |                    0.0 | 0.0 |                    0.0 | 0.0 |                    0.0 |                     0.0 |                    0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |
|      Crablog.spectral.lambda_ |    -0.08766940979537599 |  4.259543217947872e-13 | 0.0 |    0.07206056948871953 | 0.0 |  9.771932683785976e-05 |  0.00015404542023585385 |  0.0030716776487146476 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |
|        Crablog.spectral.alpha |                     0.0 |                    0.0 | 0.0 |                    0.0 | 0.0 |                    0.0 |                     0.0 |                    0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |
|         Crablog.spatial.lon_0 |  1.0413252701263233e-05 | -6.887556097994801e-16 | 0.0 |  9.771932683785976e-05 | 0.0 |    0.03924192550227461 |   9.955146477567449e-05 |  0.0006542175246166429 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |
|         Crablog.spatial.lat_0 | -0.00017318409898585556 |  2.688845580662836e-15 | 0.0 | 0.00015404542023585385 | 0.0 |  9.955146477567449e-05 |    0.028910004101786086 |  0.0006330212806195131 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |
|         Crablog.spatial.sigma |   -0.002808971201885609 | 2.2430545816463744e-13 | 0.0 |  0.0030716776487146476 | 0.0 |  0.0006542175246166429 |   0.0006330212806195131 |   0.016430232736398143 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |
|             Crablog.spatial.e |                     0.0 |                    0.0 | 0.0 |                    0.0 | 0.0 |                    0.0 |                     0.0 |                    0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |
|           Crablog.spatial.phi |                     0.0 |                    0.0 | 0.0 |                    0.0 | 0.0 |                    0.0 |                     0.0 |                    0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |
|  dataset_N-bkg.spectral._norm |                     0.0 |                    0.0 | 0.0 |                    0.0 | 0.0 |                    0.0 |                     0.0 |                    0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |
|  dataset_N-bkg.spectral.norm0 |                     0.0 |                    0.0 | 0.0 |                    0.0 | 0.0 |                    0.0 |                     0.0 |                    0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |
|  dataset_N-bkg.spectral.norm1 |                     0.0 |                    0.0 | 0.0 |                    0.0 | 0.0 |                    0.0 |                     0.0 |                    0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |
|  dataset_N-bkg.spectral.norm2 |                     0.0 |                    0.0 | 0.0 |                    0.0 | 0.0 |                    0.0 |                     0.0 |                    0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |
|  dataset_N-bkg.spectral.norm3 |                     0.0 |                    0.0 | 0.0 |                    0.0 | 0.0 |                    0.0 |                     0.0 |                    0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |
|  dataset_N-bkg.spectral.norm4 |                     0.0 |                    0.0 | 0.0 |                    0.0 | 0.0 |                    0.0 |                     0.0 |                    0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |   0.0010057503420258722 |  0.00015465369106173045 |  -7.577931327633546e-05 |   3.852039600831718e-05 |   5.737016707611314e-05 | -4.8788363673203615e-06 |  -5.845588526365189e-06 |  1.4313978403693718e-05 |   5.551880401826087e-07 | -1.5313916087422795e-05 | -1.1756515187821183e-05 |  -6.459068901237903e-06 |  -8.443600655577274e-06 |  -9.966229014515264e-06 | -7.2462211310450646e-06 | -3.7101727602875287e-06 | -1.8819026212166812e-06 | -1.2551567347118694e-06 |  -8.408978848011545e-07 | -4.2564959447109094e-07 |
|  dataset_N-bkg.spectral.norm5 |                     0.0 |                    0.0 | 0.0 |                    0.0 | 0.0 |                    0.0 |                     0.0 |                    0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  0.00015465369106173045 |   0.0005118054281428218 |  0.00023348064677111157 |  -4.218342039656072e-05 | -5.1227012565059705e-06 |   6.437485150695009e-05 |  1.7205226641515135e-05 |  -1.609495713001889e-05 |    4.05651043660411e-06 |   8.546926078765711e-06 |    -9.1565039421673e-06 |  -1.496458446189388e-05 |   -8.38759714392618e-06 |  -5.251629504538896e-06 |  -6.776638290047571e-06 |  -6.765451649867069e-06 |  -4.183753574341565e-06 | -1.6129924591547355e-06 |   -3.82425220601194e-07 |  -8.590177465717776e-08 |
|  dataset_N-bkg.spectral.norm6 |                     0.0 |                    0.0 | 0.0 |                    0.0 | 0.0 |                    0.0 |                     0.0 |                    0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  -7.577931327633546e-05 |  0.00023348064677111157 |    0.000517001527754652 |   0.0003136331886166677 | -1.2544735993612027e-05 |  -2.986727377313028e-05 |   7.177088364553721e-05 |  4.5361543946584994e-05 | -1.2804681869808299e-05 | -3.4328026006113144e-06 |  1.4497394372210873e-05 |  1.2209041760922658e-06 | -1.2867288729811494e-05 | -1.0227571966056366e-05 |  -3.841768077290148e-06 |  -2.902314676502856e-06 |  -4.088669172963269e-06 |  -3.572523230587696e-06 |  -1.830882367367707e-06 |  -4.676910866366382e-07 |
|  dataset_N-bkg.spectral.norm7 |                     0.0 |                    0.0 | 0.0 |                    0.0 | 0.0 |                    0.0 |                     0.0 |                    0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |   3.852039600831718e-05 |  -4.218342039656072e-05 |   0.0003136331886166677 |   0.0005945432592386737 |   0.0003458456381049867 |  -2.455419794291495e-05 |  -4.340409865335665e-05 |   8.213599812628793e-05 |   6.217553317513671e-05 |  -8.750556566555192e-06 | -5.0411045505126545e-06 |  1.9185852978549324e-05 |    9.30737593138062e-06 |  -8.987380877261735e-06 | -1.0253983156569826e-05 |  -3.129364410706234e-06 |   2.917789603352996e-09 |  -8.919940831690184e-07 | -1.7434869593352757e-06 | -1.3731719612848678e-06 |
