|                            Parameters |                       0 |                       1 |   2 |                       3 |   4 |                       5 |                       6 |                     7 |                     8 |   9 |                     10 |  11 |                    12 |                     13 |  14 |
|                Crablog.spectral.index |        0.83215856149361 | -1.5273812668632132e-11 | 0.0 |     -0.2878269036493194 | 0.0 |  3.3194173968038476e-05 | -1.0324967628570902e-05 |                   0.0 |                   0.0 | 0.0 |                    0.0 | 0.0 |                   0.0 |                    0.0 | 0.0 |
|            Crablog.spectral.amplitude | -1.5273812668632132e-11 |   6.673070169254374e-22 | 0.0 |   8.104614176210564e-12 | 0.0 |  -2.757956064588272e-15 |    8.94697100299428e-16 |                   0.0 |                   0.0 | 0.0 |                    0.0 | 0.0 |                   0.0 |                    0.0 | 0.0 |
|            Crablog.spectral.reference |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 |                   0.0 |                   0.0 | 0.0 |                    0.0 | 0.0 |                   0.0 |                    0.0 | 0.0 |
|              Crablog.spectral.lambda_ |     -0.2878269036493194 |   8.104614176210564e-12 | 0.0 |      0.1483572257965774 | 0.0 | -1.8892142604649805e-06 |  1.8253668206305297e-06 |                   0.0 |                   0.0 | 0.0 |                    0.0 | 0.0 |                   0.0 |                    0.0 | 0.0 |
|                Crablog.spectral.alpha |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 |                   0.0 |                   0.0 | 0.0 |                    0.0 | 0.0 |                   0.0 |                    0.0 | 0.0 |
|                 Crablog.spatial.lon_0 |  3.3194173968038476e-05 |  -2.757956064588272e-15 | 0.0 | -1.8892142604649805e-06 | 0.0 |   0.0005212123760895588 |  -5.340380837602311e-08 |                   0.0 |                   0.0 | 0.0 |                    0.0 | 0.0 |                   0.0 |                    0.0 | 0.0 |
|                 Crablog.spatial.lat_0 | -1.0324967628570902e-05 |    8.94697100299428e-16 | 0.0 |  1.8253668206305297e-06 | 0.0 |  -5.340380837602311e-08 |  0.00039071506429540096 |                   0.0 |                   0.0 | 0.0 |                    0.0 | 0.0 |                   0.0 |                    0.0 | 0.0 |
|           dataset_N-bkg.spectral.norm |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 |  0.011534519047338435 | 0.0009332000443105739 | 0.0 |                    0.0 | 0.0 |                   0.0 |                    0.0 | 0.0 |
|           dataset_N-bkg.spectral.tilt |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0009332000443105739 |   0.01341931607434051 | 0.0 |                    0.0 | 0.0 |                   0.0 |                    0.0 | 0.0 |
|      dataset_N-bkg.spectral.reference |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 |                   0.0 |                   0.0 | 0.0 |                    0.0 | 0.0 |                   0.0 |                    0.0 | 0.0 |
|       dataset_N-irf.e_reco_model.bias |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 |                   0.0 |                   0.0 | 0.0 |    0.00999277114721408 | 0.0 | 2.985936436453571e-07 | 1.7372847459877892e-07 | 0.0 |
| dataset_N-irf.e_reco_model.resolution |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 |                   0.0 |                   0.0 | 0.0 |                    0.0 | 0.0 |                   0.0 |                    0.0 | 0.0 |
|           dataset_N-irf.spectral.norm |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 |                   0.0 |                   0.0 | 0.0 |  2.985936436453571e-07 | 0.0 |  0.010001412528761668 |   2.05768275942659e-07 | 0.0 |
|           dataset_N-irf.spectral.tilt |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 |                   0.0 |                   0.0 | 0.0 | 1.7372847459877892e-07 | 0.0 |  2.05768275942659e-07 | 0.00040009276339270886 | 0.0 |
|      dataset_N-irf.spectral.reference |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 |                   0.0 |                   0.0 | 0.0 |                    0.0 | 0.0 |                   0.0 |                    0.0 | 0.0 |
