|                            Parameters |                       0 |                       1 |   2 |                      3 |   4 |                       5 |                       6 |                      7 |                      8 |   9 |                    10 |  11 |                    12 |                     13 |  14 |
|                Crablog.spectral.index |     0.21649534600626508 | -3.5792178632697672e-12 | 0.0 |   -0.06854693065687384 | 0.0 |  2.1236762356336592e-05 |  -6.577323545596385e-06 |                    0.0 |                    0.0 | 0.0 |                   0.0 | 0.0 |                   0.0 |                    0.0 | 0.0 |
|            Crablog.spectral.amplitude | -3.5792178632697672e-12 |  1.7083834508864332e-22 | 0.0 | 1.8441239006055974e-12 | 0.0 |  -6.754910490508384e-16 |  2.1977862801704652e-16 |                    0.0 |                    0.0 | 0.0 |                   0.0 | 0.0 |                   0.0 |                    0.0 | 0.0 |
|            Crablog.spectral.reference |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                     0.0 |                    0.0 |                    0.0 | 0.0 |                   0.0 | 0.0 |                   0.0 |                    0.0 | 0.0 |
|              Crablog.spectral.lambda_ |    -0.06854693065687384 |  1.8441239006055974e-12 | 0.0 |   0.033710814364444626 | 0.0 |  -2.100459909065241e-06 |   9.093288790914823e-07 |                    0.0 |                    0.0 | 0.0 |                   0.0 | 0.0 |                   0.0 |                    0.0 | 0.0 |
|                Crablog.spectral.alpha |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                     0.0 |                    0.0 |                    0.0 | 0.0 |                   0.0 | 0.0 |                   0.0 |                    0.0 | 0.0 |
|                 Crablog.spatial.lon_0 |  2.1236762356336592e-05 |  -6.754910490508384e-16 | 0.0 | -2.100459909065241e-06 | 0.0 |  0.00011230923700947562 | -1.4333345268197156e-08 |                    0.0 |                    0.0 | 0.0 |                   0.0 | 0.0 |                   0.0 |                    0.0 | 0.0 |
|                 Crablog.spatial.lat_0 |  -6.577323545596385e-06 |  2.1977862801704652e-16 | 0.0 |  9.093288790914823e-07 | 0.0 | -1.4333345268197156e-08 |   8.418854528458402e-05 |                    0.0 |                    0.0 | 0.0 |                   0.0 | 0.0 |                   0.0 |                    0.0 | 0.0 |
|           dataset_N-bkg.spectral.norm |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                     0.0 |  0.0024851005015323188 | 0.00020134730456358656 | 0.0 |                   0.0 | 0.0 |                   0.0 |                    0.0 | 0.0 |
|           dataset_N-bkg.spectral.tilt |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                     0.0 | 0.00020134730456358656 |  0.0028911313205651702 | 0.0 |                   0.0 | 0.0 |                   0.0 |                    0.0 | 0.0 |
|      dataset_N-bkg.spectral.reference |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                     0.0 |                    0.0 |                    0.0 | 0.0 |                   0.0 | 0.0 |                   0.0 |                    0.0 | 0.0 |
|       dataset_N-irf.e_reco_model.bias |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                     0.0 |                    0.0 |                    0.0 | 0.0 |  0.009312592531337566 | 0.0 | 1.326109596999318e-06 |  5.692902960625737e-07 | 0.0 |
| dataset_N-irf.e_reco_model.resolution |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                     0.0 |                    0.0 |                    0.0 | 0.0 |                   0.0 | 0.0 |                   0.0 |                    0.0 | 0.0 |
|           dataset_N-irf.spectral.norm |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                     0.0 |                    0.0 |                    0.0 | 0.0 | 1.326109596999318e-06 | 0.0 |  0.010007191982443271 |  8.786097746803351e-07 | 0.0 |
|           dataset_N-irf.spectral.tilt |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                     0.0 |                    0.0 |                    0.0 | 0.0 | 5.692902960625737e-07 | 0.0 | 8.786097746803351e-07 | 0.00040063682128281373 | 0.0 |
|      dataset_N-irf.spectral.reference |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                     0.0 |                    0.0 |                    0.0 | 0.0 |                   0.0 | 0.0 |                   0.0 |                    0.0 | 0.0 |
