|                            Parameters |                      0 |                      1 |   2 |                      3 |   4 |                       5 |                       6 |                      7 |                      8 |   9 |                     10 |  11 |                     12 |                    13 |  14 |
|                Crablog.spectral.index |    0.22611604674905236 | -3.648082485989944e-12 | 0.0 |   -0.06977672812961543 | 0.0 |  2.5512901006991753e-05 |  -8.047406266209204e-06 |                    0.0 |                    0.0 | 0.0 |                    0.0 | 0.0 |                    0.0 |                   0.0 | 0.0 |
|            Crablog.spectral.amplitude | -3.648082485989944e-12 | 1.7129335818854246e-22 | 0.0 |  1.852568552258623e-12 | 0.0 |  -7.079075228855698e-16 |   2.316021590469024e-16 |                    0.0 |                    0.0 | 0.0 |                    0.0 | 0.0 |                    0.0 |                   0.0 | 0.0 |
|            Crablog.spectral.reference |                    0.0 |                    0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                     0.0 |                    0.0 |                    0.0 | 0.0 |                    0.0 | 0.0 |                    0.0 |                   0.0 | 0.0 |
|              Crablog.spectral.lambda_ |   -0.06977672812961543 |  1.852568552258623e-12 | 0.0 |   0.033864812817289515 | 0.0 |  -2.626223370043066e-06 |  1.1324448462611974e-06 |                    0.0 |                    0.0 | 0.0 |                    0.0 | 0.0 |                    0.0 |                   0.0 | 0.0 |
|                Crablog.spectral.alpha |                    0.0 |                    0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                     0.0 |                    0.0 |                    0.0 | 0.0 |                    0.0 | 0.0 |                    0.0 |                   0.0 | 0.0 |
|                 Crablog.spatial.lon_0 | 2.5512901006991753e-05 | -7.079075228855698e-16 | 0.0 | -2.626223370043066e-06 | 0.0 |  0.00011230451676080353 | -1.3699075193608271e-08 |                    0.0 |                    0.0 | 0.0 |                    0.0 | 0.0 |                    0.0 |                   0.0 | 0.0 |
|                 Crablog.spatial.lat_0 | -8.047406266209204e-06 |  2.316021590469024e-16 | 0.0 | 1.1324448462611974e-06 | 0.0 | -1.3699075193608271e-08 |   8.418426136499951e-05 |                    0.0 |                    0.0 | 0.0 |                    0.0 | 0.0 |                    0.0 |                   0.0 | 0.0 |
|           dataset_N-bkg.spectral.norm |                    0.0 |                    0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                     0.0 |   0.002485107939507803 | 0.00020135138776501278 | 0.0 |                    0.0 | 0.0 |                    0.0 |                   0.0 | 0.0 |
|           dataset_N-bkg.spectral.tilt |                    0.0 |                    0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                     0.0 | 0.00020135138776501278 |   0.002891131859863841 | 0.0 |                    0.0 | 0.0 |                    0.0 |                   0.0 | 0.0 |
|      dataset_N-bkg.spectral.reference |                    0.0 |                    0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                     0.0 |                    0.0 |                    0.0 | 0.0 |                    0.0 | 0.0 |                    0.0 |                   0.0 | 0.0 |
|       dataset_N-irf.e_reco_model.bias |                    0.0 |                    0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                     0.0 |                    0.0 |                    0.0 | 0.0 |   0.009651688571285259 | 0.0 | 1.5546340082814297e-06 | 6.745202148527379e-07 | 0.0 |
| dataset_N-irf.e_reco_model.resolution |                    0.0 |                    0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                     0.0 |                    0.0 |                    0.0 | 0.0 |                    0.0 | 0.0 |                    0.0 |                   0.0 | 0.0 |
|           dataset_N-irf.spectral.norm |                    0.0 |                    0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                     0.0 |                    0.0 |                    0.0 | 0.0 | 1.5546340082814297e-06 | 0.0 |    0.01000694751539665 | 8.559682026778455e-07 | 0.0 |
|           dataset_N-irf.spectral.tilt |                    0.0 |                    0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                     0.0 |                    0.0 |                    0.0 | 0.0 |  6.745202148527379e-07 | 0.0 |  8.559682026778455e-07 |  0.000400632435351399 | 0.0 |
|      dataset_N-irf.spectral.reference |                    0.0 |                    0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                     0.0 |                    0.0 |                    0.0 | 0.0 |                    0.0 | 0.0 |                    0.0 |                   0.0 | 0.0 |
