|                            Parameters |                      0 |                       1 |   2 |                       3 |   4 |                       5 |                      6 |                     7 |                     8 |   9 |                    10 |  11 |                    12 |                    13 |  14 |
|                Crablog.spectral.index |    0.12145678002089735 |  -1.718535520248937e-12 | 0.0 |   -0.033530676677988556 | 0.0 |    2.04534327634186e-05 | -6.445611987427083e-06 |                   0.0 |                   0.0 | 0.0 |                   0.0 | 0.0 |                   0.0 |                   0.0 | 0.0 |
|            Crablog.spectral.amplitude | -1.718535520248937e-12 |   9.332136730046886e-23 | 0.0 |   8.458540733156169e-13 | 0.0 | -3.8627094586902376e-16 |  1.251398660089567e-16 |                   0.0 |                   0.0 | 0.0 |                   0.0 | 0.0 |                   0.0 |                   0.0 | 0.0 |
|            Crablog.spectral.reference |                    0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                    0.0 |                   0.0 |                   0.0 | 0.0 |                   0.0 | 0.0 |                   0.0 |                   0.0 | 0.0 |
|              Crablog.spectral.lambda_ |  -0.033530676677988556 |   8.458540733156169e-13 | 0.0 |    0.015491204385596835 | 0.0 | -2.2335578039789092e-06 |   8.30847950904895e-07 |                   0.0 |                   0.0 | 0.0 |                   0.0 | 0.0 |                   0.0 |                   0.0 | 0.0 |
|                Crablog.spectral.alpha |                    0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                    0.0 |                   0.0 |                   0.0 | 0.0 |                   0.0 | 0.0 |                   0.0 |                   0.0 | 0.0 |
|                 Crablog.spatial.lon_0 |   2.04534327634186e-05 | -3.8627094586902376e-16 | 0.0 | -2.2335578039789092e-06 | 0.0 |   5.208810130405915e-05 | -8.296794118260543e-09 |                   0.0 |                   0.0 | 0.0 |                   0.0 | 0.0 |                   0.0 |                   0.0 | 0.0 |
|                 Crablog.spatial.lat_0 | -6.445611987427083e-06 |   1.251398660089567e-16 | 0.0 |    8.30847950904895e-07 | 0.0 |  -8.296794118260543e-09 |  3.904262683553517e-05 |                   0.0 |                   0.0 | 0.0 |                   0.0 | 0.0 |                   0.0 |                   0.0 | 0.0 |
|           dataset_N-bkg.spectral.norm |                    0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                    0.0 | 0.0011536681471345013 |  9.44305107040165e-05 | 0.0 |                   0.0 | 0.0 |                   0.0 |                   0.0 | 0.0 |
|           dataset_N-bkg.spectral.tilt |                    0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                    0.0 |  9.44305107040165e-05 | 0.0013420037348729021 | 0.0 |                   0.0 | 0.0 |                   0.0 |                   0.0 | 0.0 |
|      dataset_N-bkg.spectral.reference |                    0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                    0.0 |                   0.0 |                   0.0 | 0.0 |                   0.0 | 0.0 |                   0.0 |                   0.0 | 0.0 |
|       dataset_N-irf.e_reco_model.bias |                    0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                    0.0 |                   0.0 |                   0.0 | 0.0 |  0.008519731505347924 | 0.0 | 9.256712136949871e-07 | 6.409956740169442e-07 | 0.0 |
| dataset_N-irf.e_reco_model.resolution |                    0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                    0.0 |                   0.0 |                   0.0 | 0.0 |                   0.0 | 0.0 |                   0.0 |                   0.0 | 0.0 |
|           dataset_N-irf.spectral.norm |                    0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                    0.0 |                   0.0 |                   0.0 | 0.0 | 9.256712136949871e-07 | 0.0 |  0.010004637113395368 | 5.530628246985293e-07 | 0.0 |
|           dataset_N-irf.spectral.tilt |                    0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                    0.0 |                   0.0 |                   0.0 | 0.0 | 6.409956740169442e-07 | 0.0 | 5.530628246985293e-07 | 0.0004013828532776676 | 0.0 |
|      dataset_N-irf.spectral.reference |                    0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                    0.0 |                   0.0 |                   0.0 | 0.0 |                   0.0 | 0.0 |                   0.0 |                   0.0 | 0.0 |
