|                     Parameters |                       0 |                      1 |   2 |                      3 |   4 |                       5 |                       6 |                      7 |                      8 |   9 |
|         Crablog.spectral.index |    0.006306980638895463 | -9.540528864213003e-14 | 0.0 | -0.0018455210100269935 | 0.0 | -4.3250986972128646e-07 |     -6.878685876691e-07 |                    0.0 |                    0.0 | 0.0 |
|     Crablog.spectral.amplitude |  -9.540528864213003e-14 |  4.090865470074909e-24 | 0.0 |  4.583366147004788e-14 | 0.0 |  -1.181589271464623e-17 |  2.2220917767991076e-17 |                    0.0 |                    0.0 | 0.0 |
|     Crablog.spectral.reference |                     0.0 |                    0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                     0.0 |                    0.0 |                    0.0 | 0.0 |
|       Crablog.spectral.lambda_ |  -0.0018455210100269935 |  4.583366147004788e-14 | 0.0 |  0.0008790744959051904 | 0.0 |  1.8898371578541026e-07 |  2.1276196828433427e-07 |                    0.0 |                    0.0 | 0.0 |
|         Crablog.spectral.alpha |                     0.0 |                    0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                     0.0 |                    0.0 |                    0.0 | 0.0 |
|          Crablog.spatial.lon_0 | -4.3250986972128646e-07 | -1.181589271464623e-17 | 0.0 | 1.8898371578541026e-07 | 0.0 |   5.766806349321191e-06 | -1.4464096514271765e-07 |                    0.0 |                    0.0 | 0.0 |
|          Crablog.spatial.lat_0 |     -6.878685876691e-07 | 2.2220917767991076e-17 | 0.0 | 2.1276196828433427e-07 | 0.0 | -1.4464096514271765e-07 |   4.016355600379475e-06 |                    0.0 |                    0.0 | 0.0 |
|      dataset-bkg.spectral.norm |                     0.0 |                    0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                     0.0 | 0.00011539962205046043 | 1.1475538903481633e-05 | 0.0 |
|      dataset-bkg.spectral.tilt |                     0.0 |                    0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                     0.0 | 1.1475538903481633e-05 | 0.00013120833478358807 | 0.0 |
| dataset-bkg.spectral.reference |                     0.0 |                    0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                     0.0 |                    0.0 |                    0.0 | 0.0 |
