|                            Parameters |                       0 |                       1 |   2 |                       3 |   4 |                       5 |                      6 |                      7 |                  8 |                      9 |  10 |  11 |                     12 |                    13 |  14 |
|                Crablog.spectral.index |    0.020668113528064143 | -1.4089701869597727e-13 | 0.0 |   -0.005094514218303432 | 0.0 |  6.6292495792782134e-06 | 1.0487447509399786e-06 |                    0.0 |                0.0 |                    0.0 | 0.0 | 0.0 |                    0.0 |                   0.0 | 0.0 |
|            Crablog.spectral.amplitude | -1.4089701869597727e-13 |  3.0316417458754453e-24 | 0.0 |  5.4385054064848755e-14 | 0.0 | -1.1278636978382294e-17 |  2.261589596196067e-17 |                    0.0 |                0.0 |                    0.0 | 0.0 | 0.0 |                    0.0 |                   0.0 | 0.0 |
|            Crablog.spectral.reference |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                    0.0 |                    0.0 |                0.0 |                    0.0 | 0.0 | 0.0 |                    0.0 |                   0.0 | 0.0 |
|              Crablog.spectral.lambda_ |   -0.005094514218303432 |  5.4385054064848755e-14 | 0.0 |   0.0019469105037596961 | 0.0 | -1.3261039717776205e-06 | 3.9165749342440254e-07 |                    0.0 |                0.0 |                    0.0 | 0.0 | 0.0 |                    0.0 |                   0.0 | 0.0 |
|                Crablog.spectral.alpha |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                    0.0 |                    0.0 |                0.0 |                    0.0 | 0.0 | 0.0 |                    0.0 |                   0.0 | 0.0 |
|                 Crablog.spatial.lon_0 |  6.6292495792782134e-06 | -1.1278636978382294e-17 | 0.0 | -1.3261039717776205e-06 | 0.0 |   4.827144870296191e-06 |   3.61617281078586e-08 |                    0.0 |                0.0 |                    0.0 | 0.0 | 0.0 |                    0.0 |                   0.0 | 0.0 |
|                 Crablog.spatial.lat_0 |  1.0487447509399786e-06 |   2.261589596196067e-17 | 0.0 |  3.9165749342440254e-07 | 0.0 |    3.61617281078586e-08 |  4.100069917635024e-06 |                    0.0 |                0.0 |                    0.0 | 0.0 | 0.0 |                    0.0 |                   0.0 | 0.0 |
|       dataset_N-irf.e_reco_model.bias |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                    0.0 |   0.002785138462806586 |                0.0 | -0.0006972099988933365 | 0.0 | 0.0 |                    0.0 |                   0.0 | 0.0 |
| dataset_N-irf.e_reco_model.resolution |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                    0.0 |                    0.0 | 2.0000000000000004 |                    0.0 | 0.0 | 0.0 |                    0.0 |                   0.0 | 0.0 |
|           dataset_N-irf.spectral.norm |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                    0.0 | -0.0006972099988933365 |                0.0 |   0.002045310800673515 | 0.0 | 0.0 |                    0.0 |                   0.0 | 0.0 |
|           dataset_N-irf.spectral.tilt |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                    0.0 |                    0.0 |                0.0 |                    0.0 | 0.0 | 0.0 |                    0.0 |                   0.0 | 0.0 |
|      dataset_N-irf.spectral.reference |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                    0.0 |                    0.0 |                0.0 |                    0.0 | 0.0 | 0.0 |                    0.0 |                   0.0 | 0.0 |
|           dataset_N-bkg.spectral.norm |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                    0.0 |                    0.0 |                0.0 |                    0.0 | 0.0 | 0.0 | 0.00011246420605720754 | 6.110368668411863e-06 | 0.0 |
|           dataset_N-bkg.spectral.tilt |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                    0.0 |                    0.0 |                0.0 |                    0.0 | 0.0 | 0.0 |  6.110368668411863e-06 | 0.0001346432521252685 | 0.0 |
|      dataset_N-bkg.spectral.reference |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                    0.0 |                    0.0 |                0.0 |                    0.0 | 0.0 | 0.0 |                    0.0 |                   0.0 | 0.0 |
