|                            Parameters |                       0 |                      1 |   2 |                       3 |   4 |                       5 |                       6 |                      7 |   8 |                      9 |                     10 |  11 |                     12 |                     13 |  14 |
|                Crablog.spectral.index |    0.011592423011141412 | -9.444139496748847e-14 | 0.0 |  -0.0027126730018917056 | 0.0 |   3.055449288533022e-06 | -1.3838938553416078e-06 |                    0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
|            Crablog.spectral.amplitude |  -9.444139496748847e-14 | 3.8536352793406704e-23 | 0.0 |   6.616921663937988e-14 | 0.0 |  -1.873898638221842e-17 |  3.0723634377429163e-17 |                    0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
|            Crablog.spectral.reference |                     0.0 |                    0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
|              Crablog.spectral.lambda_ |  -0.0027126730018917056 |  6.616921663937988e-14 | 0.0 |    0.001054737970258611 | 0.0 | -1.5234540104437074e-07 |  2.2066809698361948e-07 |                    0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
|                Crablog.spectral.alpha |                     0.0 |                    0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
|                 Crablog.spatial.lon_0 |   3.055449288533022e-06 | -1.873898638221842e-17 | 0.0 | -1.5234540104437074e-07 | 0.0 |   4.367553095819982e-06 | -1.1771214966364061e-08 |                    0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
|                 Crablog.spatial.lat_0 | -1.3838938553416078e-06 | 3.0723634377429163e-17 | 0.0 |  2.2066809698361948e-07 | 0.0 | -1.1771214966364061e-08 |  3.7186390889848513e-06 |                    0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
|       dataset_N-irf.e_reco_model.bias |                     0.0 |                    0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 |  0.0014939382980044137 | 0.0 |  6.866110930262039e-06 | 2.3184037786820958e-06 | 0.0 |                    0.0 |                    0.0 | 0.0 |
| dataset_N-irf.e_reco_model.resolution |                     0.0 |                    0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
|           dataset_N-irf.spectral.norm |                     0.0 |                    0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 |  6.866110930262039e-06 | 0.0 |   0.010158127996724454 | 1.5703895353315576e-05 | 0.0 |                    0.0 |                    0.0 | 0.0 |
|           dataset_N-irf.spectral.tilt |                     0.0 |                    0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 2.3184037786820958e-06 | 0.0 | 1.5703895353315576e-05 | 0.00041992939065182565 | 0.0 |                    0.0 |                    0.0 | 0.0 |
|      dataset_N-irf.spectral.reference |                     0.0 |                    0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
|           dataset_N-bkg.spectral.norm |                     0.0 |                    0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 | 0.00011621399371793481 |  9.036529240244333e-06 | 0.0 |
|           dataset_N-bkg.spectral.tilt |                     0.0 |                    0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |  9.036529240244333e-06 | 0.00013383128845381164 | 0.0 |
|      dataset_N-bkg.spectral.reference |                     0.0 |                    0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
