|                            Parameters |                       0 |                      1 |   2 |                       3 |   4 |                       5 |                       6 |                      7 |                      8 |   9 |                     10 |  11 |                    12 |                     13 |  14 |
|                Crablog.spectral.index |   0.0024027659007353347 |  8.640920304820472e-14 | 0.0 | -0.00042409344853840255 | 0.0 |   4.898185070318186e-07 |  -1.376711502969884e-07 |                    0.0 |                    0.0 | 0.0 |                    0.0 | 0.0 |                   0.0 |                    0.0 | 0.0 |
|            Crablog.spectral.amplitude |   8.640920304820472e-14 | 3.9687527550626744e-23 | 0.0 |  1.1796863037721848e-14 | 0.0 |    -8.1166592724658e-18 |   2.368225300073156e-18 |                    0.0 |                    0.0 | 0.0 |                    0.0 | 0.0 |                   0.0 |                    0.0 | 0.0 |
|            Crablog.spectral.reference |                     0.0 |                    0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 |                    0.0 |                    0.0 | 0.0 |                    0.0 | 0.0 |                   0.0 |                    0.0 | 0.0 |
|              Crablog.spectral.lambda_ | -0.00042409344853840255 | 1.1796863037721848e-14 | 0.0 |  0.00016994441110946835 | 0.0 |  -6.764486509676373e-08 |   2.030537322471014e-08 |                    0.0 |                    0.0 | 0.0 |                    0.0 | 0.0 |                   0.0 |                    0.0 | 0.0 |
|                Crablog.spectral.alpha |                     0.0 |                    0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 |                    0.0 |                    0.0 | 0.0 |                    0.0 | 0.0 |                   0.0 |                    0.0 | 0.0 |
|                 Crablog.spatial.lon_0 |   4.898185070318186e-07 |   -8.1166592724658e-18 | 0.0 |  -6.764486509676373e-08 | 0.0 |   5.212740723516533e-07 | -1.1068650701057364e-10 |                    0.0 |                    0.0 | 0.0 |                    0.0 | 0.0 |                   0.0 |                    0.0 | 0.0 |
|                 Crablog.spatial.lat_0 |  -1.376711502969884e-07 |  2.368225300073156e-18 | 0.0 |   2.030537322471014e-08 | 0.0 | -1.1068650701057364e-10 |  3.9063209707607805e-07 |                    0.0 |                    0.0 | 0.0 |                    0.0 | 0.0 |                   0.0 |                    0.0 | 0.0 |
|           dataset_N-bkg.spectral.norm |                     0.0 |                    0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 1.1536606308837098e-05 |  9.409018590575828e-07 | 0.0 |                    0.0 | 0.0 |                   0.0 |                    0.0 | 0.0 |
|           dataset_N-bkg.spectral.tilt |                     0.0 |                    0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 |  9.409018590575828e-07 | 1.3421341782407373e-05 | 0.0 |                    0.0 | 0.0 |                   0.0 |                    0.0 | 0.0 |
|      dataset_N-bkg.spectral.reference |                     0.0 |                    0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 |                    0.0 |                    0.0 | 0.0 |                    0.0 | 0.0 |                   0.0 |                    0.0 | 0.0 |
|       dataset_N-irf.e_reco_model.bias |                     0.0 |                    0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 |                    0.0 |                    0.0 | 0.0 |   0.000262404591819835 | 0.0 | 8.887516238146735e-06 | 2.4136725167660063e-06 | 0.0 |
| dataset_N-irf.e_reco_model.resolution |                     0.0 |                    0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 |                    0.0 |                    0.0 | 0.0 |                    0.0 | 0.0 |                   0.0 |                    0.0 | 0.0 |
|           dataset_N-irf.spectral.norm |                     0.0 |                    0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 |                    0.0 |                    0.0 | 0.0 |  8.887516238146735e-06 | 0.0 |  0.011365585077556004 |  0.0001856525185619949 | 0.0 |
|           dataset_N-irf.spectral.tilt |                     0.0 |                    0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 |                    0.0 |                    0.0 | 0.0 | 2.4136725167660063e-06 | 0.0 | 0.0001856525185619949 |  0.0006117986103336709 | 0.0 |
|      dataset_N-irf.spectral.reference |                     0.0 |                    0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 |                    0.0 |                    0.0 | 0.0 |                    0.0 | 0.0 |                   0.0 |                    0.0 | 0.0 |
