|                     Parameters |                       0 |                      1 |   2 |                      3 |   4 |                      5 |                       6 |                      7 |                      8 |   9 |
|         Crablog.spectral.index |    0.005409067742075696 | -7.541550518921517e-14 | 0.0 | -0.0014672384870510432 | 0.0 |   8.05703342711051e-08 | -1.2161494732333054e-06 |                    0.0 |                    0.0 | 0.0 |
|     Crablog.spectral.amplitude |  -7.541550518921517e-14 |  3.630491167227129e-24 | 0.0 |   3.56740503139387e-14 | 0.0 | 1.0318270690671913e-17 |   3.691960563914885e-17 |                    0.0 |                    0.0 | 0.0 |
|     Crablog.spectral.reference |                     0.0 |                    0.0 | 0.0 |                    0.0 | 0.0 |                    0.0 |                     0.0 |                    0.0 |                    0.0 | 0.0 |
|       Crablog.spectral.lambda_ |  -0.0014672384870510432 |   3.56740503139387e-14 | 0.0 |  0.0006606561071184761 | 0.0 |  2.729293039651245e-07 |   4.854064973593474e-07 |                    0.0 |                    0.0 | 0.0 |
|         Crablog.spectral.alpha |                     0.0 |                    0.0 | 0.0 |                    0.0 | 0.0 |                    0.0 |                     0.0 |                    0.0 |                    0.0 | 0.0 |
|          Crablog.spatial.lon_0 |    8.05703342711051e-08 | 1.0318270690671913e-17 | 0.0 |  2.729293039651245e-07 | 0.0 |  4.936172610964664e-06 |    2.95455203038986e-10 |                    0.0 |                    0.0 | 0.0 |
|          Crablog.spatial.lat_0 | -1.2161494732333054e-06 |  3.691960563914885e-17 | 0.0 |  4.854064973593474e-07 | 0.0 |   2.95455203038986e-10 |  3.7633213988115655e-06 |                    0.0 |                    0.0 | 0.0 |
|      dataset-bkg.spectral.norm |                     0.0 |                    0.0 | 0.0 |                    0.0 | 0.0 |                    0.0 |                     0.0 | 0.00011579277889693597 | 1.1558521693853334e-05 | 0.0 |
|      dataset-bkg.spectral.tilt |                     0.0 |                    0.0 | 0.0 |                    0.0 | 0.0 |                    0.0 |                     0.0 | 1.1558521693853334e-05 | 0.00013107594867378065 | 0.0 |
| dataset-bkg.spectral.reference |                     0.0 |                    0.0 | 0.0 |                    0.0 | 0.0 |                    0.0 |                     0.0 |                    0.0 |                    0.0 | 0.0 |
