|                            Parameters |                      0 |                      1 |   2 |                      3 |   4 |                       5 |                       6 |                      7 |                      8 |   9 |                     10 |  11 |                     12 |                    13 |  14 |
|                Crablog.spectral.index |   0.020584057804445204 | -2.428827612933381e-13 | 0.0 |  -0.004190067444078198 | 0.0 |  5.6789461301935235e-06 |  -1.435121769523384e-06 |                    0.0 |                    0.0 | 0.0 |                    0.0 | 0.0 |                    0.0 |                   0.0 | 0.0 |
|            Crablog.spectral.amplitude | -2.428827612933381e-13 |  7.086243518513258e-23 | 0.0 |  9.306457052762694e-14 | 0.0 |  -7.274052181370588e-17 |       1.94931325592e-17 |                    0.0 |                    0.0 | 0.0 |                    0.0 | 0.0 |                    0.0 |                   0.0 | 0.0 |
|            Crablog.spectral.reference |                    0.0 |                    0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                     0.0 |                    0.0 |                    0.0 | 0.0 |                    0.0 | 0.0 |                    0.0 |                   0.0 | 0.0 |
|              Crablog.spectral.lambda_ |  -0.004190067444078198 |  9.306457052762694e-14 | 0.0 |  0.0016296719685749265 | 0.0 |  -6.981978598191375e-07 |   1.891954442293311e-07 |                    0.0 |                    0.0 | 0.0 |                    0.0 | 0.0 |                    0.0 |                   0.0 | 0.0 |
|                Crablog.spectral.alpha |                    0.0 |                    0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                     0.0 |                    0.0 |                    0.0 | 0.0 |                    0.0 | 0.0 |                    0.0 |                   0.0 | 0.0 |
|                 Crablog.spatial.lon_0 | 5.6789461301935235e-06 | -7.274052181370588e-17 | 0.0 | -6.981978598191375e-07 | 0.0 |   5.212266072918846e-06 | -1.0996126435016657e-09 |                    0.0 |                    0.0 | 0.0 |                    0.0 | 0.0 |                    0.0 |                   0.0 | 0.0 |
|                 Crablog.spatial.lat_0 | -1.435121769523384e-06 |      1.94931325592e-17 | 0.0 |  1.891954442293311e-07 | 0.0 | -1.0996126435016657e-09 |   3.905592135784093e-06 |                    0.0 |                    0.0 | 0.0 |                    0.0 | 0.0 |                    0.0 |                   0.0 | 0.0 |
|           dataset_N-bkg.spectral.norm |                    0.0 |                    0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                     0.0 | 0.00011536273533145683 |   9.38005426983612e-06 | 0.0 |                    0.0 | 0.0 |                    0.0 |                   0.0 | 0.0 |
|           dataset_N-bkg.spectral.tilt |                    0.0 |                    0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                     0.0 |   9.38005426983612e-06 | 0.00013420553106561966 | 0.0 |                    0.0 | 0.0 |                    0.0 |                   0.0 | 0.0 |
|      dataset_N-bkg.spectral.reference |                    0.0 |                    0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                     0.0 |                    0.0 |                    0.0 | 0.0 |                    0.0 | 0.0 |                    0.0 |                   0.0 | 0.0 |
|       dataset_N-irf.e_reco_model.bias |                    0.0 |                    0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                     0.0 |                    0.0 |                    0.0 | 0.0 |   0.002726523085999506 | 0.0 | 3.8493905082911415e-05 | 2.001110446055927e-05 | 0.0 |
| dataset_N-irf.e_reco_model.resolution |                    0.0 |                    0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                     0.0 |                    0.0 |                    0.0 | 0.0 |                    0.0 | 0.0 |                    0.0 |                   0.0 | 0.0 |
|           dataset_N-irf.spectral.norm |                    0.0 |                    0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                     0.0 |                    0.0 |                    0.0 | 0.0 | 3.8493905082911415e-05 | 0.0 |    0.04272734048181758 | 3.612915289555638e-07 | 0.0 |
|           dataset_N-irf.spectral.tilt |                    0.0 |                    0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                     0.0 |                    0.0 |                    0.0 | 0.0 |  2.001110446055927e-05 | 0.0 |  3.612915289555638e-07 | 0.0015898957333680206 | 0.0 |
|      dataset_N-irf.spectral.reference |                    0.0 |                    0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                     0.0 |                    0.0 |                    0.0 | 0.0 |                    0.0 | 0.0 |                    0.0 |                   0.0 | 0.0 |
