|                            Parameters |                    0 |   1 |   2 |                     3 |                     4 |                      5 |                      6 |   7 |                      8 |                      9 |  10 |                      11 |                     12 |                      13 |                     14 |  15 |
|               aEaZD8Bs.spectral.index |   1.2369650846566451 | 0.0 | 0.0 |  0.013505941766393447 |  0.011781960342467295 |                    0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |                     0.0 |                    0.0 |                     0.0 |                    0.0 | 0.0 |
|           aEaZD8Bs.spectral.amplitude |                  0.0 | 0.0 | 0.0 |                   0.0 |                   0.0 |                    0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |                     0.0 |                    0.0 |                     0.0 |                    0.0 | 0.0 |
|           aEaZD8Bs.spectral.reference |                  0.0 | 0.0 | 0.0 |                   0.0 |                   0.0 |                    0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |                     0.0 |                    0.0 |                     0.0 |                    0.0 | 0.0 |
|                aEaZD8Bs.spatial.lon_0 | 0.013505941766393447 | 0.0 | 0.0 |  0.033643222109731856 | 0.0010904246548401513 |                    0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |                     0.0 |                    0.0 |                     0.0 |                    0.0 | 0.0 |
|                aEaZD8Bs.spatial.lat_0 | 0.011781960342467295 | 0.0 | 0.0 | 0.0010904246548401513 |   0.02571651647702738 |                    0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |                     0.0 |                    0.0 |                     0.0 |                    0.0 | 0.0 |
|           dataset N-bkg.spectral.norm |                  0.0 | 0.0 | 0.0 |                   0.0 |                   0.0 |   0.010249666447246958 | 1.9990549047361707e-05 | 0.0 |  -0.010005651274599663 | 1.3183915106032633e-07 | 0.0 |                     0.0 |                    0.0 |                     0.0 |                    0.0 | 0.0 |
|           dataset N-bkg.spectral.tilt |                  0.0 | 0.0 | 0.0 |                   0.0 |                   0.0 | 1.9990549047361707e-05 |   0.000679702497010275 | 0.0 |  1.343085352675525e-09 | -0.0003969750616361049 | 0.0 |                     0.0 |                    0.0 |                     0.0 |                    0.0 | 0.0 |
|      dataset N-bkg.spectral.reference |                  0.0 | 0.0 | 0.0 |                   0.0 |                   0.0 |                    0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |                     0.0 |                    0.0 |                     0.0 |                    0.0 | 0.0 |
|  dataset N-bkg.spectral.norm_nuisance |                  0.0 | 0.0 | 0.0 |                   0.0 |                   0.0 |  -0.010005651274599663 |  1.343085352675525e-09 | 0.0 |    0.01000505871535232 | -4.735076740385901e-09 | 0.0 |                     0.0 |                    0.0 |                     0.0 |                    0.0 | 0.0 |
|  dataset N-bkg.spectral.tilt_nuisance |                  0.0 | 0.0 | 0.0 |                   0.0 |                   0.0 | 1.3183915106032633e-07 | -0.0003969750616361049 | 0.0 | -4.735076740385901e-09 |  0.0003977716231068311 | 0.0 |                     0.0 |                    0.0 |                     0.0 |                    0.0 | 0.0 |
|      dataset N-bkg.spectral.reference |                  0.0 | 0.0 | 0.0 |                   0.0 |                   0.0 |                    0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |                     0.0 |                    0.0 |                     0.0 |                    0.0 | 0.0 |
|       dataset N-irf.e_reco_model.bias |                  0.0 | 0.0 | 0.0 |                   0.0 |                   0.0 |                    0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |    0.007776355651212192 |  0.0008231091110769257 | -1.6359039518512132e-06 | 1.7326360061443578e-07 | 0.0 |
| dataset N-irf.e_reco_model.resolution |                  0.0 | 0.0 | 0.0 |                   0.0 |                   0.0 |                    0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |   0.0008231091110769257 |   0.008832779397494417 |    2.67716918547119e-08 | -3.569143638577842e-09 | 0.0 |
|  dataset N-irf.spectral.norm_nuisance |                  0.0 | 0.0 | 0.0 |                   0.0 |                   0.0 |                    0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 | -1.6359039518512132e-06 |   2.67716918547119e-08 |    0.009997779237923108 | 1.9594183912085915e-07 | 0.0 |
|  dataset N-irf.spectral.tilt_nuisance |                  0.0 | 0.0 | 0.0 |                   0.0 |                   0.0 |                    0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |  1.7326360061443578e-07 | -3.569143638577842e-09 |  1.9594183912085915e-07 |  0.0002249800806983227 | 0.0 |
|      dataset N-irf.spectral.reference |                  0.0 | 0.0 | 0.0 |                   0.0 |                   0.0 |                    0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |                     0.0 |                    0.0 |                     0.0 |                    0.0 | 0.0 |
