|                            Parameters |                     0 |   1 |   2 |                     3 |                     4 |                      5 |                      6 |   7 |                       8 |                       9 |  10 |                      11 |                      12 |                      13 |                     14 |  15 |
|               aEaZD8Bs.spectral.index |   0.12315318848090612 | 0.0 | 0.0 | 0.0011878990565904507 | 0.0009789838607952202 |                    0.0 |                    0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 |                     0.0 |                    0.0 | 0.0 |
|           aEaZD8Bs.spectral.amplitude |                   0.0 | 0.0 | 0.0 |                   0.0 |                   0.0 |                    0.0 |                    0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 |                     0.0 |                    0.0 | 0.0 |
|           aEaZD8Bs.spectral.reference |                   0.0 | 0.0 | 0.0 |                   0.0 |                   0.0 |                    0.0 |                    0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 |                     0.0 |                    0.0 | 0.0 |
|                aEaZD8Bs.spatial.lon_0 | 0.0011878990565904507 | 0.0 | 0.0 | 0.0031585878750502575 | 6.815413416427641e-05 |                    0.0 |                    0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 |                     0.0 |                    0.0 | 0.0 |
|                aEaZD8Bs.spatial.lat_0 | 0.0009789838607952202 | 0.0 | 0.0 | 6.815413416427641e-05 | 0.0024627364710359525 |                    0.0 |                    0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 |                     0.0 |                    0.0 | 0.0 |
|           dataset N-bkg.spectral.norm |                   0.0 | 0.0 | 0.0 |                   0.0 |                   0.0 |     0.0100600733768388 | 1.9267489289732834e-06 | 0.0 |    -0.01000261119757292 |   8.922513782718788e-08 | 0.0 |                     0.0 |                     0.0 |                     0.0 |                    0.0 | 0.0 |
|           dataset N-bkg.spectral.tilt |                   0.0 | 0.0 | 0.0 |                   0.0 |                   0.0 | 1.9267489289732834e-06 | 0.00040873389705497814 | 0.0 |  3.9233111752290046e-08 |   -0.000381026755268764 | 0.0 |                     0.0 |                     0.0 |                     0.0 |                    0.0 | 0.0 |
|      dataset N-bkg.spectral.reference |                   0.0 | 0.0 | 0.0 |                   0.0 |                   0.0 |                    0.0 |                    0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 |                     0.0 |                    0.0 | 0.0 |
|  dataset N-bkg.spectral.norm_nuisance |                   0.0 | 0.0 | 0.0 |                   0.0 |                   0.0 |   -0.01000261119757292 | 3.9233111752290046e-08 | 0.0 |    0.009969679723225868 | -3.5229222477460053e-08 | 0.0 |                     0.0 |                     0.0 |                     0.0 |                    0.0 | 0.0 |
|  dataset N-bkg.spectral.tilt_nuisance |                   0.0 | 0.0 | 0.0 |                   0.0 |                   0.0 |  8.922513782718788e-08 |  -0.000381026755268764 | 0.0 | -3.5229222477460053e-08 |  0.00038167741058670886 | 0.0 |                     0.0 |                     0.0 |                     0.0 |                    0.0 | 0.0 |
|      dataset N-bkg.spectral.reference |                   0.0 | 0.0 | 0.0 |                   0.0 |                   0.0 |                    0.0 |                    0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 |                     0.0 |                    0.0 | 0.0 |
|       dataset N-irf.e_reco_model.bias |                   0.0 | 0.0 | 0.0 |                   0.0 |                   0.0 |                    0.0 |                    0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |     0.00620761564328076 |   0.0015200497026236644 | -2.8206744910517124e-05 |  3.092388408132284e-06 | 0.0 |
| dataset N-irf.e_reco_model.resolution |                   0.0 | 0.0 | 0.0 |                   0.0 |                   0.0 |                    0.0 |                    0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |   0.0015200497026236644 |    0.004393568224755485 | -1.2067803602209883e-05 |  1.311677164866111e-06 | 0.0 |
|  dataset N-irf.spectral.norm_nuisance |                   0.0 | 0.0 | 0.0 |                   0.0 |                   0.0 |                    0.0 |                    0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | -2.8206744910517124e-05 | -1.2067803602209883e-05 |    0.009980765825140627 | 1.6676713120462106e-06 | 0.0 |
|  dataset N-irf.spectral.tilt_nuisance |                   0.0 | 0.0 | 0.0 |                   0.0 |                   0.0 |                    0.0 |                    0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |   3.092388408132284e-06 |   1.311677164866111e-06 |  1.6676713120462106e-06 | 0.00022482598528378287 | 0.0 |
|      dataset N-irf.spectral.reference |                   0.0 | 0.0 | 0.0 |                   0.0 |                   0.0 |                    0.0 |                    0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 |                     0.0 |                    0.0 | 0.0 |
