|                            Parameters |                      0 |   1 |   2 |                      3 |                      4 |                      5 |                      6 |   7 |                      8 |                      9 |  10 |                     11 |                      12 |                      13 |                     14 |  15 |
|               aEaZD8Bs.spectral.index |    0.05158159384994272 | 0.0 | 0.0 | 0.00040181168040391677 |  0.0003674252759658918 |                    0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |                    0.0 |                     0.0 |                     0.0 |                    0.0 | 0.0 |
|           aEaZD8Bs.spectral.amplitude |                    0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 |                    0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |                    0.0 |                     0.0 |                     0.0 |                    0.0 | 0.0 |
|           aEaZD8Bs.spectral.reference |                    0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 |                    0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |                    0.0 |                     0.0 |                     0.0 |                    0.0 | 0.0 |
|                aEaZD8Bs.spatial.lon_0 | 0.00040181168040391677 | 0.0 | 0.0 |  0.0013024007143118844 | 1.9737473673661855e-05 |                    0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |                    0.0 |                     0.0 |                     0.0 |                    0.0 | 0.0 |
|                aEaZD8Bs.spatial.lat_0 |  0.0003674252759658918 | 0.0 | 0.0 | 1.9737473673661855e-05 |  0.0010230322449001844 |                    0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |                    0.0 |                     0.0 |                     0.0 |                    0.0 | 0.0 |
|           dataset N-bkg.spectral.norm |                    0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 |   0.010063639673131395 |  8.859536003853149e-07 | 0.0 |    -0.0100194952717315 | 5.1694321731572794e-08 | 0.0 |                    0.0 |                     0.0 |                     0.0 |                    0.0 | 0.0 |
|           dataset N-bkg.spectral.tilt |                    0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 |  8.859536003853149e-07 |  0.0003785070151461016 | 0.0 | 1.0217147681398082e-08 | -0.0003658977146033099 | 0.0 |                    0.0 |                     0.0 |                     0.0 |                    0.0 | 0.0 |
|      dataset N-bkg.spectral.reference |                    0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 |                    0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |                    0.0 |                     0.0 |                     0.0 |                    0.0 | 0.0 |
|  dataset N-bkg.spectral.norm_nuisance |                    0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 |    -0.0100194952717315 | 1.0217147681398082e-08 | 0.0 |   0.009986793437216023 | -9.268624897488481e-09 | 0.0 |                    0.0 |                     0.0 |                     0.0 |                    0.0 | 0.0 |
|  dataset N-bkg.spectral.tilt_nuisance |                    0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 | 5.1694321731572794e-08 | -0.0003658977146033099 | 0.0 | -9.268624897488481e-09 | 0.00036645032861014717 | 0.0 |                    0.0 |                     0.0 |                     0.0 |                    0.0 | 0.0 |
|      dataset N-bkg.spectral.reference |                    0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 |                    0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |                    0.0 |                     0.0 |                     0.0 |                    0.0 | 0.0 |
|       dataset N-irf.e_reco_model.bias |                    0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 |                    0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |  0.0035320583521856637 |   0.0017852617253836267 |  -3.398900864008042e-05 | 3.6298063270152302e-06 | 0.0 |
| dataset N-irf.e_reco_model.resolution |                    0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 |                    0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |  0.0017852617253836267 |    0.004674303211502845 | -2.3771530414948044e-05 |  2.528663398296769e-06 | 0.0 |
|  dataset N-irf.spectral.norm_nuisance |                    0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 |                    0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 | -3.398900864008042e-05 | -2.3771530414948044e-05 |      0.0099581924044279 |  3.478690977175548e-06 | 0.0 |
|  dataset N-irf.spectral.tilt_nuisance |                    0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 |                    0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 | 3.6298063270152302e-06 |   2.528663398296769e-06 |   3.478690977175548e-06 |  0.0002246286385212061 | 0.0 |
|      dataset N-irf.spectral.reference |                    0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 |                    0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |                    0.0 |                     0.0 |                     0.0 |                    0.0 | 0.0 |
