|                            Parameters |                       0 |                       1 |   2 |                       3 |                       4 |                       5 |                       6 |   7 |                       8 |                       9 |  10 |                      11 |                      12 |                      13 |                      14 |  15 |
|               aEaZD8Bs.spectral.index |     0.21507202542723441 |   8.705139041032771e-14 | 0.0 |   9.858765783174223e-05 |  2.1487185473272906e-05 | -0.00016118719817609614 |  -0.0003399031253371511 | 0.0 | -1.2986132048424286e-07 |  -9.805949752531886e-07 | 0.0 |    0.004807943045566724 |   0.0002648656247973235 | -0.00013202506347778688 | -0.00020324848554746555 | 0.0 |
|           aEaZD8Bs.spectral.amplitude |   8.705139041032771e-14 |  2.6264293081448673e-25 | 0.0 |  -6.308024884156674e-16 |  -7.151674745692463e-17 |  -5.001746763358929e-16 |  -9.652321641802864e-17 | 0.0 | -3.8507695447715775e-19 |   -4.87994274486751e-19 | 0.0 |   9.582705970415697e-17 |   3.638520407964396e-16 | -1.0329833456634046e-14 |  2.0223247363193128e-17 | 0.0 |
|           aEaZD8Bs.spectral.reference |                     0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 | 0.0 |
|                aEaZD8Bs.spatial.lon_0 |   9.858765783174223e-05 |  -6.308024884156674e-16 | 0.0 |   0.0007005788490764803 |   4.696104221040915e-07 |   1.883036916740549e-06 |  -6.939428777084821e-07 | 0.0 |   8.056647312873737e-09 |   8.378715071367124e-09 | 0.0 |    8.49759441348604e-06 |  3.0608791364595316e-07 |   6.884266559278351e-07 | -1.0135954855905643e-08 | 0.0 |
|                aEaZD8Bs.spatial.lat_0 |  2.1487185473272906e-05 |  -7.151674745692463e-17 | 0.0 |   4.696104221040915e-07 |   0.0005221024373397939 |   2.604726357573179e-07 | -1.0034828991736767e-07 | 0.0 |   2.391374172955218e-10 |  1.4684451379333292e-09 | 0.0 |  1.6153810939301944e-06 |   7.727907279088927e-08 |  1.6047227100787006e-07 | -1.4078401805220682e-09 | 0.0 |
|           dataset N-bkg.spectral.norm | -0.00016118719817609614 |  -5.001746763358929e-16 | 0.0 |   1.883036916740549e-06 |   2.604726357573179e-07 |     0.01024397980920212 |   2.002738263310058e-05 | 0.0 |   -0.009999113008995211 |   1.307096511734959e-07 | 0.0 |  1.0929384698496524e-06 | -2.8420038815291957e-08 |  4.1624428445520774e-07 | -3.0484749761461444e-08 | 0.0 |
|           dataset N-bkg.spectral.tilt |  -0.0003399031253371511 |  -9.652321641802864e-17 | 0.0 |  -6.939428777084821e-07 | -1.0034828991736767e-07 |   2.002738263310058e-05 |   0.0006818644241351275 | 0.0 |  3.6041248581395967e-09 | -0.00039697240413491384 | 0.0 |    5.13489287212644e-06 |  4.6547641969171276e-08 |  2.0284271091728093e-07 |  -3.526073510374126e-08 | 0.0 |
|      dataset N-bkg.spectral.reference |                     0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 | 0.0 |
|  dataset N-bkg.spectral.norm_nuisance | -1.2986132048424286e-07 | -3.8507695447715775e-19 | 0.0 |   8.056647312873737e-09 |   2.391374172955218e-10 |   -0.009999113008995211 |  3.6041248581395967e-09 | 0.0 |    0.009999125169554543 |  -2.487674938218684e-09 | 0.0 | -6.5771529797934425e-09 |  -7.079577600142398e-09 | -2.0324682084160945e-09 |  -8.043781085292884e-10 | 0.0 |
|  dataset N-bkg.spectral.tilt_nuisance |  -9.805949752531886e-07 |   -4.87994274486751e-19 | 0.0 |   8.378715071367124e-09 |  1.4684451379333292e-09 |   1.307096511734959e-07 | -0.00039697240413491384 | 0.0 |  -2.487674938218684e-09 |   0.0003977741046456615 | 0.0 |   1.534269106775969e-08 |  2.8871126555566236e-11 |  1.4554052578094897e-09 |  -6.730443811478856e-11 | 0.0 |
|      dataset N-bkg.spectral.reference |                     0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 | 0.0 |
|       dataset N-irf.e_reco_model.bias |    0.004807943045566724 |   9.582705970415697e-17 | 0.0 |    8.49759441348604e-06 |  1.6153810939301944e-06 |  1.0929384698496524e-06 |    5.13489287212644e-06 | 0.0 | -6.5771529797934425e-09 |   1.534269106775969e-08 | 0.0 |    0.009898437007100322 | -0.00018819612251325173 |  -2.400628511422367e-07 |     5.0453139326639e-07 | 0.0 |
| dataset N-irf.e_reco_model.resolution |   0.0002648656247973235 |   3.638520407964396e-16 | 0.0 |  3.0608791364595316e-07 |   7.727907279088927e-08 | -2.8420038815291957e-08 |  4.6547641969171276e-08 | 0.0 |  -7.079577600142398e-09 |  2.8871126555566236e-11 | 0.0 | -0.00018819612251325173 |    0.009983027742109525 |  -7.042630987535577e-07 |  1.7307447962834618e-08 | 0.0 |
|  dataset N-irf.spectral.norm_nuisance | -0.00013202506347778688 | -1.0329833456634046e-14 | 0.0 |   6.884266559278351e-07 |  1.6047227100787006e-07 |  4.1624428445520774e-07 |  2.0284271091728093e-07 | 0.0 | -2.0324682084160945e-09 |  1.4554052578094897e-09 | 0.0 |  -2.400628511422367e-07 |  -7.042630987535577e-07 |    0.010023871618643238 |  -2.989285765090139e-08 | 0.0 |
|  dataset N-irf.spectral.tilt_nuisance | -0.00020324848554746555 |  2.0223247363193128e-17 | 0.0 | -1.0135954855905643e-08 | -1.4078401805220682e-09 | -3.0484749761461444e-08 |  -3.526073510374126e-08 | 0.0 |  -8.043781085292884e-10 |  -6.730443811478856e-11 | 0.0 |     5.0453139326639e-07 |  1.7307447962834618e-08 |  -2.989285765090139e-08 |  0.00022496560192891344 | 0.0 |
|      dataset N-irf.spectral.reference |                     0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 | 0.0 |
