|                           Parameters |                       0 |                       1 |   2 |                       3 |                       4 |   5 |   6 |   7 |   8 |                       9 |                      10 |                      11 |                      12 |                      13 |                      14 |                      15 |                      16 |                      17 |                      18 |                      19 |                      20 |                      21 |                      22 |                      23 |                      24 |                      25 |                      26 |                      27 |                      28 |  29 |  30 |  31 |                      32 |  33 |                      34 |                      35 |  36 |
|              LZi23L0y.spectral.index |      0.1005130815984093 |    4.05872487049576e-14 | 0.0 |  4.6820551474349194e-05 |    9.37216919806636e-06 | 0.0 | 0.0 | 0.0 | 0.0 |   -8.22207839194512e-05 |  -0.0001877297853396417 | -0.00019544835338870532 | -0.00013274767407317194 |  -7.581307831416699e-05 |   -1.93711804673565e-05 |   5.324423179689278e-05 |   0.0001233372471170638 |  0.00017814392234692528 |  0.00022141623953381547 |   0.0002549696710708543 |   0.0002776552695755888 |  0.00029027135643738627 |   0.0002944826488512928 |  0.00029403370430063574 |   0.0002953435824334173 |  0.00029922473155393484 |   0.0002936034655715597 |    0.000262420581453157 |  0.00020335280117327333 | 0.0 | 0.0 | 0.0 |    0.003934810193308314 | 0.0 | -0.00012905398342119123 |  -0.0003629731208564388 | 0.0 |
|          LZi23L0y.spectral.amplitude |    4.05872487049576e-14 |  1.2771003104452338e-25 | 0.0 | -2.8998057593542774e-16 | -2.8547045139971946e-17 | 0.0 | 0.0 | 0.0 | 0.0 |  -9.803466389627086e-17 |  -2.410978738017992e-16 | -2.9926385084375024e-16 |  -2.878653618530237e-16 |  -2.742481600656494e-16 |  -2.575577236525249e-16 | -2.3049770645597973e-16 | -2.0359783931727746e-16 | -1.7359821122915083e-16 | -1.3726581288481946e-16 |  -1.042605712033593e-16 |  -8.125781694344096e-17 |  -6.864602487429927e-17 |   -6.84813815042297e-17 |  -7.876289803618976e-17 |  -8.568388978454367e-17 |  -7.446644741933813e-17 | -4.6409958090374485e-17 | -1.7236956678764514e-17 |  1.0710607658627631e-19 | 0.0 | 0.0 | 0.0 |  1.0687189144278171e-16 | 0.0 | -1.0364220859128746e-14 |    3.35504652971406e-17 | 0.0 |
|          LZi23L0y.spectral.reference |                     0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |
|               LZi23L0y.spatial.lon_0 |  4.6820551474349194e-05 | -2.8998057593542774e-16 | 0.0 |   0.0003250860849190506 |  2.2245407791398662e-07 | 0.0 | 0.0 | 0.0 | 0.0 |  4.6184991466955443e-07 |  1.1356774013395936e-06 |  1.5031299182176726e-06 |  1.6848076943293799e-06 |  1.9340070460659796e-06 |   2.282575456709822e-06 |  2.7770123265396132e-06 |  3.3914017310365917e-06 |  4.0617817153377456e-06 |    4.88848542047581e-06 |   5.945552853659527e-06 |   7.378381485492951e-06 |  1.0146887478943945e-05 |   1.562459171022622e-05 |   2.317282642916817e-05 |  2.8916090525440187e-05 |  2.8827046658603766e-05 |  2.2927379652293597e-05 |  1.4995854854372717e-05 |   8.551932771722187e-06 | 0.0 | 0.0 | 0.0 |   6.732349774453739e-06 | 0.0 |   7.330690254322619e-07 | -1.4484073814864582e-08 | 0.0 |
|               LZi23L0y.spatial.lat_0 |    9.37216919806636e-06 | -2.8547045139971946e-17 | 0.0 |  2.2245407791398662e-07 |  0.00024219442468794092 | 0.0 | 0.0 | 0.0 | 0.0 |    6.72242524473185e-08 |  1.6355244533282922e-07 |  2.1442955415209487e-07 |  2.4069433692388406e-07 |      2.795644534519e-07 |  3.3365526985714877e-07 |  4.0844954320048663e-07 |    5.00633497936875e-07 |   6.046175714381079e-07 |    7.40205625796335e-07 |    9.19059224921087e-07 |  1.1641266734700413e-06 |  1.6356087601986503e-06 |  2.5641803677349556e-06 |  3.8430582715593615e-06 |   4.819167417752631e-06 |   4.810674526991312e-06 |   3.818009816176526e-06 |   2.479951361771127e-06 |   1.395977655615903e-06 | 0.0 | 0.0 | 0.0 |   1.167121101162693e-06 | 0.0 |  1.6936157984631743e-07 |  -4.665774730968785e-09 | 0.0 |
|          rtyw6wop-bkg.spectral.norm0 |                     0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |
|          rtyw6wop-bkg.spectral.norm1 |                     0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |
|          rtyw6wop-bkg.spectral.norm2 |                     0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |
|          rtyw6wop-bkg.spectral.norm3 |                     0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |
|          rtyw6wop-bkg.spectral.norm4 |   -8.22207839194512e-05 |  -9.803466389627086e-17 | 0.0 |  4.6184991466955443e-07 |    6.72242524473185e-08 | 0.0 | 0.0 | 0.0 | 0.0 |   0.0001590041625503189 |  0.00020220124816117902 |  1.1594689846707762e-05 |  -7.225269797277812e-05 |  1.1253551123076502e-05 |    2.96265812970989e-05 |  -1.612576285538495e-05 | -1.2936361736846789e-05 |  1.0673561582624065e-05 |   5.305323063524171e-06 |  -5.997581607113665e-06 | -2.6745306848293955e-06 |  2.8270636141748716e-06 |  1.5185991411365272e-06 | -1.3199854303509083e-06 | -1.3428356445400644e-06 |  -7.492785937108692e-08 |   4.334116082884386e-07 |   1.820961513117985e-07 | -1.1398237861261086e-07 | 0.0 | 0.0 | 0.0 |   4.561492331668368e-06 | 0.0 |  2.9772604286422173e-07 |  -3.657738794766766e-08 | 0.0 |
