|                     Parameters |                       0 |                       1 |   2 |                       3 |   4 |                       5 |                      6 |                     7 |                     8 |   9 |
|         Crablog.spectral.index |       0.852682261254628 | -1.6495464044326515e-11 | 0.0 |    -0.31019890503101877 | 0.0 |   6.287166997921311e-05 |  2.325373352155363e-05 |                   0.0 |                   0.0 | 0.0 |
|     Crablog.spectral.amplitude | -1.6495464044326515e-11 |    6.69158775995328e-22 | 0.0 |   8.669750555278702e-12 | 0.0 |  -3.968349041729263e-15 |  5.141420386108189e-16 |                   0.0 |                   0.0 | 0.0 |
|     Crablog.spectral.reference |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                    0.0 |                   0.0 |                   0.0 | 0.0 |
|       Crablog.spectral.lambda_ |    -0.31019890503101877 |   8.669750555278702e-12 | 0.0 |     0.15930108453046626 | 0.0 | -2.0589568713966537e-05 | -5.722608547430184e-06 |                   0.0 |                   0.0 | 0.0 |
|         Crablog.spectral.alpha |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                    0.0 |                   0.0 |                   0.0 | 0.0 |
|          Crablog.spatial.lon_0 |   6.287166997921311e-05 |  -3.968349041729263e-15 | 0.0 | -2.0589568713966537e-05 | 0.0 |   0.0005205970554456486 | 3.2491035176069527e-07 |                   0.0 |                   0.0 | 0.0 |
|          Crablog.spatial.lat_0 |   2.325373352155363e-05 |   5.141420386108189e-16 | 0.0 |  -5.722608547430184e-06 | 0.0 |  3.2491035176069527e-07 |  0.0003894272772260439 |                   0.0 |                   0.0 | 0.0 |
|      dataset-bkg.spectral.norm |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                    0.0 |  0.011505464407886652 | 0.0009485170637308578 | 0.0 |
|      dataset-bkg.spectral.tilt |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                    0.0 | 0.0009485170637308578 |   0.01338427422635702 | 0.0 |
| dataset-bkg.spectral.reference |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                    0.0 |                   0.0 |                   0.0 | 0.0 |
