|                     Parameters |                      0 |                      1 |   2 |                     3 |   4 |                       5 |                       6 |                     7 |                     8 |   9 |
|         Crablog.spectral.index |    0.08564182948065385 | -1.661937643025461e-12 | 0.0 | -0.031229820096953992 | 0.0 |  1.3841282275632507e-06 |  -5.167232864796623e-07 |                   0.0 |                   0.0 | 0.0 |
|     Crablog.spectral.amplitude | -1.661937643025461e-12 |  6.736912254781545e-23 | 0.0 | 8.744722786628341e-13 | 0.0 |  -2.529571778522137e-16 |   9.422980061332872e-17 |                   0.0 |                   0.0 | 0.0 |
|     Crablog.spectral.reference |                    0.0 |                    0.0 | 0.0 |                   0.0 | 0.0 |                     0.0 |                     0.0 |                   0.0 |                   0.0 | 0.0 |
|       Crablog.spectral.lambda_ |  -0.031229820096953992 |  8.744722786628341e-13 | 0.0 |  0.016053961672779123 | 0.0 |   7.762608948305369e-08 |   1.479888163808661e-07 |                   0.0 |                   0.0 | 0.0 |
|         Crablog.spectral.alpha |                    0.0 |                    0.0 | 0.0 |                   0.0 | 0.0 |                     0.0 |                     0.0 |                   0.0 |                   0.0 | 0.0 |
|          Crablog.spatial.lon_0 | 1.3841282275632507e-06 | -2.529571778522137e-16 | 0.0 | 7.762608948305369e-08 | 0.0 |   5.211111346364379e-05 | -1.3021094976613545e-08 |                   0.0 |                   0.0 | 0.0 |
|          Crablog.spatial.lat_0 | -5.167232864796623e-07 |  9.422980061332872e-17 | 0.0 | 1.479888163808661e-07 | 0.0 | -1.3021094976613545e-08 |   3.907614062571503e-05 |                   0.0 |                   0.0 | 0.0 |
|      dataset-bkg.spectral.norm |                    0.0 |                    0.0 | 0.0 |                   0.0 | 0.0 |                     0.0 |                     0.0 | 0.0011535947934358294 | 9.472124351259734e-05 | 0.0 |
|      dataset-bkg.spectral.tilt |                    0.0 |                    0.0 | 0.0 |                   0.0 | 0.0 |                     0.0 |                     0.0 | 9.472124351259734e-05 | 0.0013420856141265348 | 0.0 |
| dataset-bkg.spectral.reference |                    0.0 |                    0.0 | 0.0 |                   0.0 | 0.0 |                     0.0 |                     0.0 |                   0.0 |                   0.0 | 0.0 |
