|                            Parameters |                      0 |                       1 |   2 |                       3 |   4 |                       5 |                       6 |                     7 |                      8 |   9 |                     10 |  11 |                     12 |                     13 |  14 |
|                Crablog.spectral.index |   0.003871733521523055 |  -5.320452235020658e-14 | 0.0 |  -0.0009086492280072824 | 0.0 |  1.0572617343617637e-06 |   -2.86183670849343e-07 |                   0.0 |                    0.0 | 0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
|            Crablog.spectral.amplitude | -5.320452235020658e-14 |  1.7386040671327407e-23 | 0.0 |  2.0547831286329663e-14 | 0.0 | -1.5407627276355628e-17 |  4.3668669480376075e-18 |                   0.0 |                    0.0 | 0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
|            Crablog.spectral.reference |                    0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 |                   0.0 |                    0.0 | 0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
|              Crablog.spectral.lambda_ | -0.0009086492280072824 |  2.0547831286329663e-14 | 0.0 |  0.00035856328707508983 | 0.0 | -1.4078642280315616e-07 |   4.088120629660771e-08 |                   0.0 |                    0.0 | 0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
|                Crablog.spectral.alpha |                    0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 |                   0.0 |                    0.0 | 0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
|                 Crablog.spatial.lon_0 | 1.0572617343617637e-06 | -1.5407627276355628e-17 | 0.0 | -1.4078642280315616e-07 | 0.0 |  1.1229187246587039e-06 | -2.3244536540543603e-10 |                   0.0 |                    0.0 | 0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
|                 Crablog.spatial.lat_0 |  -2.86183670849343e-07 |  4.3668669480376075e-18 | 0.0 |   4.088120629660771e-08 | 0.0 | -2.3244536540543603e-10 |   8.414792064305314e-07 |                   0.0 |                    0.0 | 0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
|           dataset_N-bkg.spectral.norm |                    0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 2.485444991549078e-05 |   2.02471189299343e-06 | 0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
|           dataset_N-bkg.spectral.tilt |                    0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 |  2.02471189299343e-06 | 2.8914810686359305e-05 | 0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
|      dataset_N-bkg.spectral.reference |                    0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 |                   0.0 |                    0.0 | 0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
|       dataset_N-irf.e_reco_model.bias |                    0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 |                   0.0 |                    0.0 | 0.0 |  0.0005304514092694582 | 0.0 |  7.619189333402649e-06 | 3.4543879075575434e-09 | 0.0 |
| dataset_N-irf.e_reco_model.resolution |                    0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 |                   0.0 |                    0.0 | 0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
|           dataset_N-irf.spectral.norm |                    0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 |                   0.0 |                    0.0 | 0.0 |  7.619189333402649e-06 | 0.0 |   0.010612211365893886 | 4.7767399240356354e-06 | 0.0 |
|           dataset_N-irf.spectral.tilt |                    0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 |                   0.0 |                    0.0 | 0.0 | 3.4543879075575434e-09 | 0.0 | 4.7767399240356354e-06 | 0.00040000210993207006 | 0.0 |
|      dataset_N-irf.spectral.reference |                    0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 |                   0.0 |                    0.0 | 0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
