|                            Parameters |                       0 |                       1 |   2 |                       3 |   4 |                       5 |                      6 |                      7 |                     8 |   9 |                    10 |  11 |                    12 |                     13 |  14 |
|                Crablog.spectral.index |    0.008360468235130938 | -1.1071658916111697e-13 | 0.0 |  -0.0019275236368746969 | 0.0 |   2.339335282816566e-06 | -6.111134391955629e-07 |                    0.0 |                   0.0 | 0.0 |                   0.0 | 0.0 |                   0.0 |                    0.0 | 0.0 |
|            Crablog.spectral.amplitude | -1.1071658916111697e-13 |  1.8733262556612202e-23 | 0.0 |   4.292804531025414e-14 | 0.0 |  -3.235457462392043e-17 |  8.917304368958113e-18 |                    0.0 |                   0.0 | 0.0 |                   0.0 | 0.0 |                   0.0 |                    0.0 | 0.0 |
|            Crablog.spectral.reference |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                    0.0 |                    0.0 |                   0.0 | 0.0 |                   0.0 | 0.0 |                   0.0 |                    0.0 | 0.0 |
|              Crablog.spectral.lambda_ |  -0.0019275236368746969 |   4.292804531025414e-14 | 0.0 |   0.0007610182600665944 | 0.0 | -3.0065055777251003e-07 |  8.448998120633107e-08 |                    0.0 |                   0.0 | 0.0 |                   0.0 | 0.0 |                   0.0 |                    0.0 | 0.0 |
|                Crablog.spectral.alpha |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                    0.0 |                    0.0 |                   0.0 | 0.0 |                   0.0 | 0.0 |                   0.0 |                    0.0 | 0.0 |
|                 Crablog.spatial.lon_0 |   2.339335282816566e-06 |  -3.235457462392043e-17 | 0.0 | -3.0065055777251003e-07 | 0.0 |  2.4191133403748463e-06 | -4.889412223148846e-10 |                    0.0 |                   0.0 | 0.0 |                   0.0 | 0.0 |                   0.0 |                    0.0 | 0.0 |
|                 Crablog.spatial.lat_0 |  -6.111134391955629e-07 |   8.917304368958113e-18 | 0.0 |   8.448998120633107e-08 | 0.0 |  -4.889412223148846e-10 |  1.812772497147743e-06 |                    0.0 |                   0.0 | 0.0 |                   0.0 | 0.0 |                   0.0 |                    0.0 | 0.0 |
|           dataset_N-bkg.spectral.norm |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                    0.0 | 5.3546673512549536e-05 | 4.357600896103114e-06 | 0.0 |                   0.0 | 0.0 |                   0.0 |                    0.0 | 0.0 |
|           dataset_N-bkg.spectral.tilt |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                    0.0 |  4.357600896103114e-06 | 6.229383710056711e-05 | 0.0 |                   0.0 | 0.0 |                   0.0 |                    0.0 | 0.0 |
|      dataset_N-bkg.spectral.reference |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                    0.0 |                    0.0 |                   0.0 | 0.0 |                   0.0 | 0.0 |                   0.0 |                    0.0 | 0.0 |
|       dataset_N-irf.e_reco_model.bias |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                    0.0 |                    0.0 |                   0.0 | 0.0 | 0.0011672628348949586 | 0.0 | 8.942000244934893e-06 |  1.669868882381216e-09 | 0.0 |
| dataset_N-irf.e_reco_model.resolution |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                    0.0 |                    0.0 |                   0.0 | 0.0 |                   0.0 | 0.0 |                   0.0 |                    0.0 | 0.0 |
|           dataset_N-irf.spectral.norm |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                    0.0 |                    0.0 |                   0.0 | 0.0 | 8.942000244934893e-06 | 0.0 |  0.010343172774563298 |  1.754163571498593e-06 | 0.0 |
|           dataset_N-irf.spectral.tilt |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                    0.0 |                    0.0 |                   0.0 | 0.0 | 1.669868882381216e-09 | 0.0 | 1.754163571498593e-06 | 0.00040000028227516696 | 0.0 |
|      dataset_N-irf.spectral.reference |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                    0.0 |                    0.0 |                   0.0 | 0.0 |                   0.0 | 0.0 |                   0.0 |                    0.0 | 0.0 |
