|                     Parameters |                       0 |                       1 |   2 |                       3 |   4 |                       5 |                       6 |                      7 |                     8 |   9 |
|         Crablog.spectral.index |    0.005897629128747576 |  -8.731364282130431e-14 | 0.0 |  -0.0016800426736566947 | 0.0 | -3.3949726882520367e-07 |   8.503753675101313e-07 |                    0.0 |                   0.0 | 0.0 |
|     Crablog.spectral.amplitude |  -8.731364282130431e-14 |   3.929913828663766e-24 | 0.0 |   4.179884518568469e-14 | 0.0 |  -1.885946510532984e-17 | -1.9330335773696104e-17 |                    0.0 |                   0.0 | 0.0 |
|     Crablog.spectral.reference |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 |                    0.0 |                   0.0 | 0.0 |
|       Crablog.spectral.lambda_ |  -0.0016800426736566947 |   4.179884518568469e-14 | 0.0 |   0.0007873977805430669 | 0.0 |  4.0761632936384845e-08 | -1.9013654443033664e-07 |                    0.0 |                   0.0 | 0.0 |
|         Crablog.spectral.alpha |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 |                    0.0 |                   0.0 | 0.0 |
|          Crablog.spatial.lon_0 | -3.3949726882520367e-07 |  -1.885946510532984e-17 | 0.0 |  4.0761632936384845e-08 | 0.0 |   5.276827296143278e-06 |   1.986999888190286e-08 |                    0.0 |                   0.0 | 0.0 |
|          Crablog.spatial.lat_0 |   8.503753675101313e-07 | -1.9330335773696104e-17 | 0.0 | -1.9013654443033664e-07 | 0.0 |   1.986999888190286e-08 |   3.870355337947053e-06 |                    0.0 |                   0.0 | 0.0 |
|      dataset-bkg.spectral.norm |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.00011439628774816448 | 9.134655195796034e-06 | 0.0 |
|      dataset-bkg.spectral.tilt |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 |  9.134655195796034e-06 | 0.0001356964305195353 | 0.0 |
| dataset-bkg.spectral.reference |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 |                    0.0 |                   0.0 | 0.0 |
