|                     Parameters |                       0 |                      1 |   2 |                       3 |   4 |                       5 |                       6 |                      7 |                     8 |   9 |
|         Crablog.spectral.index |    0.005046894043270289 | -6.129608168738322e-14 | 0.0 |  -0.0012688605625730952 | 0.0 | -2.5351754666504474e-07 |   8.772738087238741e-08 |                    0.0 |                   0.0 | 0.0 |
|     Crablog.spectral.amplitude |  -6.129608168738322e-14 |  3.337388503860223e-24 | 0.0 |   2.899505597007012e-14 | 0.0 |  -3.120116277262109e-17 |  5.9248653365256826e-18 |                    0.0 |                   0.0 | 0.0 |
|     Crablog.spectral.reference |                     0.0 |                    0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 |                    0.0 |                   0.0 | 0.0 |
|       Crablog.spectral.lambda_ |  -0.0012688605625730952 |  2.899505597007012e-14 | 0.0 |   0.0005344456220279958 | 0.0 |  1.9056612409495794e-08 | -1.2073284907139913e-08 |                    0.0 |                   0.0 | 0.0 |
|         Crablog.spectral.alpha |                     0.0 |                    0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 |                    0.0 |                   0.0 | 0.0 |
|          Crablog.spatial.lon_0 | -2.5351754666504474e-07 | -3.120116277262109e-17 | 0.0 |  1.9056612409495794e-08 | 0.0 |   4.769645339424113e-06 |  1.0213688723146447e-08 |                    0.0 |                   0.0 | 0.0 |
|          Crablog.spatial.lat_0 |   8.772738087238741e-08 | 5.9248653365256826e-18 | 0.0 | -1.2073284907139913e-08 | 0.0 |  1.0213688723146447e-08 |  3.6025224322949787e-06 |                    0.0 |                   0.0 | 0.0 |
|      dataset-bkg.spectral.norm |                     0.0 |                    0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.00011755652161298761 | 1.007253008075337e-05 | 0.0 |
|      dataset-bkg.spectral.tilt |                     0.0 |                    0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 |  1.007253008075337e-05 | 0.0001307389323555089 | 0.0 |
| dataset-bkg.spectral.reference |                     0.0 |                    0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 |                    0.0 |                   0.0 | 0.0 |
