|                     Parameters |                       0 |                       1 |   2 |                      3 |   4 |                       5 |                       6 |                      7 |                      8 |   9 |
|         Crablog.spectral.index |    0.006498084846978311 |  -9.786429144693874e-14 | 0.0 | -0.0019365038872323518 | 0.0 | -1.0612660774412078e-06 |   6.466293853396433e-07 |                    0.0 |                    0.0 | 0.0 |
|     Crablog.spectral.amplitude |  -9.786429144693874e-14 |   4.051413873818445e-24 | 0.0 | 4.7651194015342686e-14 | 0.0 |  -3.471376284453904e-18 | -1.8444472878105768e-17 |                    0.0 |                    0.0 | 0.0 |
|     Crablog.spectral.reference |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                     0.0 |                    0.0 |                    0.0 | 0.0 |
|       Crablog.spectral.lambda_ |  -0.0019365038872323518 |  4.7651194015342686e-14 | 0.0 |  0.0009427407563454846 | 0.0 |   6.594468941718844e-07 |  -2.291826880883277e-07 |                    0.0 |                    0.0 | 0.0 |
|         Crablog.spectral.alpha |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                     0.0 |                    0.0 |                    0.0 | 0.0 |
|          Crablog.spatial.lon_0 | -1.0612660774412078e-06 |  -3.471376284453904e-18 | 0.0 |  6.594468941718844e-07 | 0.0 |   5.875691465578669e-06 |   5.571322963195529e-08 |                    0.0 |                    0.0 | 0.0 |
|          Crablog.spatial.lat_0 |   6.466293853396433e-07 | -1.8444472878105768e-17 | 0.0 | -2.291826880883277e-07 | 0.0 |   5.571322963195529e-08 |   3.989151358781785e-06 |                    0.0 |                    0.0 | 0.0 |
|      dataset-bkg.spectral.norm |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                     0.0 | 0.00011876418538049472 |  8.923220637675836e-06 | 0.0 |
|      dataset-bkg.spectral.tilt |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                     0.0 |  8.923220637675836e-06 | 0.00013076874097766862 | 0.0 |
| dataset-bkg.spectral.reference |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                     0.0 |                    0.0 |                    0.0 | 0.0 |
