|                     Parameters |                      0 |                      1 |   2 |                       3 |   4 |                       5 |                       6 |                      7 |                      8 |   9 |
|         Crablog.spectral.index |    0.00829828132284867 | -1.581428544449099e-13 | 0.0 |  -0.0030285689845277555 | 0.0 |  -6.740312534609061e-08 |   5.279286630468469e-07 |                    0.0 |                    0.0 | 0.0 |
|     Crablog.spectral.amplitude | -1.581428544449099e-13 |   6.72200477408805e-24 | 0.0 |   8.676121647967937e-14 | 0.0 |  -6.870972892395593e-18 |  2.4416373494688786e-17 |                    0.0 |                    0.0 | 0.0 |
|     Crablog.spectral.reference |                    0.0 |                    0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 |                    0.0 |                    0.0 | 0.0 |
|       Crablog.spectral.lambda_ | -0.0030285689845277555 |  8.676121647967937e-14 | 0.0 |   0.0016085125294511336 | 0.0 |   2.139517471345057e-07 | -1.1815484931260197e-07 |                    0.0 |                    0.0 | 0.0 |
|         Crablog.spectral.alpha |                    0.0 |                    0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 |                    0.0 |                    0.0 | 0.0 |
|          Crablog.spatial.lon_0 | -6.740312534609061e-08 | -6.870972892395593e-18 | 0.0 |   2.139517471345057e-07 | 0.0 |   5.302792000227027e-06 | -1.6269561885128075e-07 |                    0.0 |                    0.0 | 0.0 |
|          Crablog.spatial.lat_0 |  5.279286630468469e-07 | 2.4416373494688786e-17 | 0.0 | -1.1815484931260197e-07 | 0.0 | -1.6269561885128075e-07 |  3.9980832996868205e-06 |                    0.0 |                    0.0 | 0.0 |
|      dataset-bkg.spectral.norm |                    0.0 |                    0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.00011477390721662365 | 1.1270409805160777e-05 | 0.0 |
|      dataset-bkg.spectral.tilt |                    0.0 |                    0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 1.1270409805160777e-05 | 0.00013217365707640346 | 0.0 |
| dataset-bkg.spectral.reference |                    0.0 |                    0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 |                    0.0 |                    0.0 | 0.0 |
