|                     Parameters |                       0 |                       1 |   2 |                      3 |   4 |                       5 |                      6 |                      7 |                      8 |   9 |
|         Crablog.spectral.index |    0.007504334325222452 | -1.3476775510881262e-13 | 0.0 | -0.0025958048058435054 | 0.0 |    4.66297538713601e-07 | -3.559190397533947e-07 |                    0.0 |                    0.0 | 0.0 |
|     Crablog.spectral.amplitude | -1.3476775510881262e-13 |   5.826831123335791e-24 | 0.0 |  7.212595313151485e-14 | 0.0 | -5.1263825915990586e-18 | -6.174599434177627e-19 |                    0.0 |                    0.0 | 0.0 |
|     Crablog.spectral.reference |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                    0.0 |                    0.0 |                    0.0 | 0.0 |
|       Crablog.spectral.lambda_ |  -0.0025958048058435054 |   7.212595313151485e-14 | 0.0 |   0.001341437156452198 | 0.0 |  2.1320380549815356e-07 | -7.099677244860806e-08 |                    0.0 |                    0.0 | 0.0 |
|         Crablog.spectral.alpha |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                    0.0 |                    0.0 |                    0.0 | 0.0 |
|          Crablog.spatial.lon_0 |    4.66297538713601e-07 | -5.1263825915990586e-18 | 0.0 | 2.1320380549815356e-07 | 0.0 |   5.349372754242322e-06 | -6.902927371304009e-08 |                    0.0 |                    0.0 | 0.0 |
|          Crablog.spatial.lat_0 |  -3.559190397533947e-07 |  -6.174599434177627e-19 | 0.0 | -7.099677244860806e-08 | 0.0 |  -6.902927371304009e-08 |  3.785962270717818e-06 |                    0.0 |                    0.0 | 0.0 |
|      dataset-bkg.spectral.norm |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                    0.0 | 0.00011570288131629788 |  8.655253229851189e-06 | 0.0 |
|      dataset-bkg.spectral.tilt |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                    0.0 |  8.655253229851189e-06 | 0.00013467337790207682 | 0.0 |
| dataset-bkg.spectral.reference |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                    0.0 |                    0.0 |                    0.0 | 0.0 |
