|                     Parameters |                       0 |                       1 |   2 |                      3 |   4 |                       5 |                       6 |                     7 |                     8 |   9 |
|         Crablog.spectral.index |    0.005941915505143787 |  -9.289995647846367e-14 | 0.0 | -0.0017571928486358732 | 0.0 |  -9.183807517100879e-07 | -1.0965355336930289e-06 |                   0.0 |                   0.0 | 0.0 |
|     Crablog.spectral.amplitude |  -9.289995647846367e-14 |  4.2089463307155136e-24 | 0.0 |  4.528800296181583e-14 | 0.0 | -3.0687367768147336e-17 |  -3.022003049381919e-18 |                   0.0 |                   0.0 | 0.0 |
|     Crablog.spectral.reference |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                     0.0 |                   0.0 |                   0.0 | 0.0 |
|       Crablog.spectral.lambda_ |  -0.0017571928486358732 |   4.528800296181583e-14 | 0.0 |  0.0008348792510819711 | 0.0 |  4.4012142218771433e-07 |  1.4353548205270096e-07 |                   0.0 |                   0.0 | 0.0 |
|         Crablog.spectral.alpha |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                     0.0 |                   0.0 |                   0.0 | 0.0 |
|          Crablog.spatial.lon_0 |  -9.183807517100879e-07 | -3.0687367768147336e-17 | 0.0 | 4.4012142218771433e-07 | 0.0 |   5.125962112384996e-06 | -3.8153175451917545e-08 |                   0.0 |                   0.0 | 0.0 |
|          Crablog.spatial.lat_0 | -1.0965355336930289e-06 |  -3.022003049381919e-18 | 0.0 | 1.4353548205270096e-07 | 0.0 | -3.8153175451917545e-08 |   3.887298561491573e-06 |                   0.0 |                   0.0 | 0.0 |
|      dataset-bkg.spectral.norm |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                     0.0 | 0.0001155997889395244 | 8.020531177065999e-06 | 0.0 |
|      dataset-bkg.spectral.tilt |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                     0.0 | 8.020531177065999e-06 | 0.0001358378712711323 | 0.0 |
| dataset-bkg.spectral.reference |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                     0.0 |                   0.0 |                   0.0 | 0.0 |
