|                            Parameters |                      0 |                      1 |   2 |                      3 |   4 |                      5 |                      6 |                      7 |   8 |                     9 |                     10 |  11 |                     12 |                     13 |  14 |
|                Crablog.spectral.index |   0.015011085630249513 | -2.360964458686967e-13 | 0.0 |  -0.004290471924869174 | 0.0 | -5.073792198571965e-06 | -2.354010900310554e-06 |                    0.0 | 0.0 |                   0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
|            Crablog.spectral.amplitude | -2.360964458686967e-13 | 2.2042899174312968e-23 | 0.0 | 1.0284901148250043e-13 | 0.0 | -8.991341659708243e-18 | 3.8869074521824145e-17 |                    0.0 | 0.0 |                   0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
|            Crablog.spectral.reference |                    0.0 |                    0.0 | 0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 |                    0.0 | 0.0 |                   0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
|              Crablog.spectral.lambda_ |  -0.004290471924869174 | 1.0284901148250043e-13 | 0.0 |  0.0019038987913431078 | 0.0 |  4.686217959633571e-07 | 2.3607478834857822e-07 |                    0.0 | 0.0 |                   0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
|                Crablog.spectral.alpha |                    0.0 |                    0.0 | 0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 |                    0.0 | 0.0 |                   0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
|                 Crablog.spatial.lon_0 | -5.073792198571965e-06 | -8.991341659708243e-18 | 0.0 |  4.686217959633571e-07 | 0.0 |  5.325811157690926e-06 | -6.940648648893666e-09 |                    0.0 | 0.0 |                   0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
|                 Crablog.spatial.lat_0 | -2.354010900310554e-06 | 3.8869074521824145e-17 | 0.0 | 2.3607478834857822e-07 | 0.0 | -6.940648648893666e-09 |  3.951668769622406e-06 |                    0.0 | 0.0 |                   0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
|       dataset_N-irf.e_reco_model.bias |                    0.0 |                    0.0 | 0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 |  0.0016955939158727676 | 0.0 | 7.626499286772854e-06 | -6.278537402501601e-10 | 0.0 |                    0.0 |                    0.0 | 0.0 |
| dataset_N-irf.e_reco_model.resolution |                    0.0 |                    0.0 | 0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 |                    0.0 | 0.0 |                   0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
|           dataset_N-irf.spectral.norm |                    0.0 |                    0.0 | 0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 |  7.626499286772854e-06 | 0.0 |  0.010149168471161289 |  9.268456758677294e-07 | 0.0 |                    0.0 |                    0.0 | 0.0 |
|           dataset_N-irf.spectral.tilt |                    0.0 |                    0.0 | 0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 | -6.278537402501601e-10 | 0.0 | 9.268456758677294e-07 |  0.0003999998714652331 | 0.0 |                    0.0 |                    0.0 | 0.0 |
|      dataset_N-irf.spectral.reference |                    0.0 |                    0.0 | 0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 |                    0.0 | 0.0 |                   0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
|           dataset_N-bkg.spectral.norm |                    0.0 |                    0.0 | 0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 |                    0.0 | 0.0 |                   0.0 |                    0.0 | 0.0 | 0.00011478878099386367 | 1.0093951601029874e-05 | 0.0 |
|           dataset_N-bkg.spectral.tilt |                    0.0 |                    0.0 | 0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 |                    0.0 | 0.0 |                   0.0 |                    0.0 | 0.0 | 1.0093951601029874e-05 |  0.0001337629928867901 | 0.0 |
|      dataset_N-bkg.spectral.reference |                    0.0 |                    0.0 | 0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 |                    0.0 | 0.0 |                   0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
