|                            Parameters |                      0 |                      1 |   2 |                      3 |   4 |                       5 |                       6 |                      7 |   8 |                      9 |                     10 |  11 |                     12 |                     13 |  14 |
|                Crablog.spectral.index |   0.007057918012242085 | -1.182192923469617e-13 | 0.0 | -0.0021971060730783267 | 0.0 |  1.2446863331762192e-05 |  -8.295877344090523e-06 |                    0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
|            Crablog.spectral.amplitude | -1.182192923469617e-13 | 1.7036641714951342e-23 | 0.0 | 5.5877400623816864e-14 | 0.0 |   -8.00927363963435e-16 |   5.192626309824064e-16 |                    0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
|            Crablog.spectral.reference |                    0.0 |                    0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                     0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
|              Crablog.spectral.lambda_ | -0.0021971060730783267 | 5.5877400623816864e-14 | 0.0 |  0.0010769074308904106 | 0.0 |  -5.947717373069842e-06 |  3.8565089590685845e-06 |                    0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
|                Crablog.spectral.alpha |                    0.0 |                    0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                     0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
|                 Crablog.spatial.lon_0 | 1.2446863331762192e-05 |  -8.00927363963435e-16 | 0.0 | -5.947717373069842e-06 | 0.0 |   6.170042561192925e-06 | -1.3435012544223592e-06 |                    0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
|                 Crablog.spatial.lat_0 | -8.295877344090523e-06 |  5.192626309824064e-16 | 0.0 | 3.8565089590685845e-06 | 0.0 | -1.3435012544223592e-06 |  3.1216172804462702e-06 |                    0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
|       dataset_N-irf.e_reco_model.bias |                    0.0 |                    0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                     0.0 | 0.00021574312197168894 | 0.0 | -8.381969796296125e-05 | -4.445350900525717e-06 | 0.0 |                    0.0 |                    0.0 | 0.0 |
| dataset_N-irf.e_reco_model.resolution |                    0.0 |                    0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                     0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
|           dataset_N-irf.spectral.norm |                    0.0 |                    0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                     0.0 | -8.381969796296125e-05 | 0.0 |   0.009355245563940316 | -6.480565342324985e-06 | 0.0 |                    0.0 |                    0.0 | 0.0 |
|           dataset_N-irf.spectral.tilt |                    0.0 |                    0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                     0.0 | -4.445350900525717e-06 | 0.0 | -6.480565342324985e-06 |  0.0004048756808096207 | 0.0 |                    0.0 |                    0.0 | 0.0 |
|      dataset_N-irf.spectral.reference |                    0.0 |                    0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                     0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
|           dataset_N-bkg.spectral.norm |                    0.0 |                    0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                     0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 | 0.00013931772983299945 | 1.8230874771381386e-05 | 0.0 |
|           dataset_N-bkg.spectral.tilt |                    0.0 |                    0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                     0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 | 1.8230874771381386e-05 | 0.00014996659660703563 | 0.0 |
|      dataset_N-bkg.spectral.reference |                    0.0 |                    0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                     0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
