|                            Parameters |                      0 |                       1 |   2 |                      3 |   4 |                       5 |                       6 |                      7 |   8 |                     9 |                     10 |  11 |                     12 |                     13 |  14 |
|                Crablog.spectral.index |    0.01580856126268019 |  -2.407582832298454e-13 | 0.0 |  -0.004362611201479508 | 0.0 |   8.467008567524439e-07 |  1.1747034435910344e-06 |                    0.0 | 0.0 |                   0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
|            Crablog.spectral.amplitude | -2.407582832298454e-13 |  2.4208749242476073e-23 | 0.0 | 1.0480806905928967e-13 | 0.0 | -1.4740218651453145e-17 |  1.8128559127006628e-17 |                    0.0 | 0.0 |                   0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
|            Crablog.spectral.reference |                    0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                     0.0 |                    0.0 | 0.0 |                   0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
|              Crablog.spectral.lambda_ |  -0.004362611201479508 |  1.0480806905928967e-13 | 0.0 |  0.0018770890857463785 | 0.0 |   7.710954112853204e-08 |  -2.321722562571902e-07 |                    0.0 | 0.0 |                   0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
|                Crablog.spectral.alpha |                    0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                     0.0 |                    0.0 | 0.0 |                   0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
|                 Crablog.spatial.lon_0 |  8.467008567524439e-07 | -1.4740218651453145e-17 | 0.0 |  7.710954112853204e-08 | 0.0 |   5.182777310261863e-06 | -1.5413087020432123e-07 |                    0.0 | 0.0 |                   0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
|                 Crablog.spatial.lat_0 | 1.1747034435910344e-06 |  1.8128559127006628e-17 | 0.0 | -2.321722562571902e-07 | 0.0 | -1.5413087020432123e-07 |  3.9121514635472115e-06 |                    0.0 | 0.0 |                   0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
|       dataset_N-irf.e_reco_model.bias |                    0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                     0.0 |  0.0016496734592768134 | 0.0 | 6.911207694873283e-06 | 1.0054410245638937e-09 | 0.0 |                    0.0 |                    0.0 | 0.0 |
| dataset_N-irf.e_reco_model.resolution |                    0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                     0.0 |                    0.0 | 0.0 |                   0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
|           dataset_N-irf.spectral.norm |                    0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                     0.0 |  6.911207694873283e-06 | 0.0 |  0.010154821082696375 |  1.554541058553396e-06 | 0.0 |                    0.0 |                    0.0 | 0.0 |
|           dataset_N-irf.spectral.tilt |                    0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                     0.0 | 1.0054410245638937e-09 | 0.0 | 1.554541058553396e-06 | 0.00040000020831089844 | 0.0 |                    0.0 |                    0.0 | 0.0 |
|      dataset_N-irf.spectral.reference |                    0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                     0.0 |                    0.0 | 0.0 |                   0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
|           dataset_N-bkg.spectral.norm |                    0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                     0.0 |                    0.0 | 0.0 |                   0.0 |                    0.0 | 0.0 | 0.00011478866563397483 |  1.127000523803525e-05 | 0.0 |
|           dataset_N-bkg.spectral.tilt |                    0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                     0.0 |                    0.0 | 0.0 |                   0.0 |                    0.0 | 0.0 |  1.127000523803525e-05 | 0.00013217541453569608 | 0.0 |
|      dataset_N-bkg.spectral.reference |                    0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                     0.0 |                    0.0 | 0.0 |                   0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
