|                            Parameters |                       0 |                       1 |   2 |                      3 |   4 |                      5 |                      6 |                     7 |   8 |                     9 |                     10 |  11 |                     12 |                    13 |  14 |
|                Crablog.spectral.index |    0.012167945235555491 | -1.9260381740173273e-13 | 0.0 |  -0.003208708776420276 | 0.0 | 4.0375879559227625e-06 | -3.181259037714958e-06 |                   0.0 | 0.0 |                   0.0 |                    0.0 | 0.0 |                    0.0 |                   0.0 | 0.0 |
|            Crablog.spectral.amplitude | -1.9260381740173273e-13 |  1.9761428463694773e-23 | 0.0 |  7.669224653380281e-14 | 0.0 | -4.972969185428926e-17 |  6.240428287359308e-17 |                   0.0 | 0.0 |                   0.0 |                    0.0 | 0.0 |                    0.0 |                   0.0 | 0.0 |
|            Crablog.spectral.reference |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 |                   0.0 | 0.0 |                   0.0 |                    0.0 | 0.0 |                    0.0 |                   0.0 | 0.0 |
|              Crablog.spectral.lambda_ |   -0.003208708776420276 |   7.669224653380281e-14 | 0.0 |  0.0013787308992594667 | 0.0 | 1.8476722669632601e-07 |  4.017902869829761e-07 |                   0.0 | 0.0 |                   0.0 |                    0.0 | 0.0 |                    0.0 |                   0.0 | 0.0 |
|                Crablog.spectral.alpha |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 |                   0.0 | 0.0 |                   0.0 |                    0.0 | 0.0 |                    0.0 |                   0.0 | 0.0 |
|                 Crablog.spatial.lon_0 |  4.0375879559227625e-06 |  -4.972969185428926e-17 | 0.0 | 1.8476722669632601e-07 | 0.0 |  5.193371530640088e-06 | -9.677751126240995e-08 |                   0.0 | 0.0 |                   0.0 |                    0.0 | 0.0 |                    0.0 |                   0.0 | 0.0 |
|                 Crablog.spatial.lat_0 |  -3.181259037714958e-06 |   6.240428287359308e-17 | 0.0 |  4.017902869829761e-07 | 0.0 | -9.677751126240995e-08 | 4.3032227835618004e-06 |                   0.0 | 0.0 |                   0.0 |                    0.0 | 0.0 |                    0.0 |                   0.0 | 0.0 |
|       dataset_N-irf.e_reco_model.bias |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 | 0.0014294451563351574 | 0.0 | 8.071948661462924e-06 |  1.475316916009091e-10 | 0.0 |                    0.0 |                   0.0 | 0.0 |
| dataset_N-irf.e_reco_model.resolution |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 |                   0.0 | 0.0 |                   0.0 |                    0.0 | 0.0 |                    0.0 |                   0.0 | 0.0 |
|           dataset_N-irf.spectral.norm |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 | 8.071948661462924e-06 | 0.0 |    0.0101616631641896 |  3.668258880663545e-07 | 0.0 |                    0.0 |                   0.0 | 0.0 |
|           dataset_N-irf.spectral.tilt |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 | 1.475316916009091e-10 | 0.0 | 3.668258880663545e-07 | 0.00040000002570424415 | 0.0 |                    0.0 |                   0.0 | 0.0 |
|      dataset_N-irf.spectral.reference |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 |                   0.0 | 0.0 |                   0.0 |                    0.0 | 0.0 |                    0.0 |                   0.0 | 0.0 |
|           dataset_N-bkg.spectral.norm |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 |                   0.0 | 0.0 |                   0.0 |                    0.0 | 0.0 | 0.00011582301383269963 | 9.769236749565094e-06 | 0.0 |
|           dataset_N-bkg.spectral.tilt |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 |                   0.0 | 0.0 |                   0.0 |                    0.0 | 0.0 |  9.769236749565094e-06 | 0.0001333764646994178 | 0.0 |
|      dataset_N-bkg.spectral.reference |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 |                   0.0 | 0.0 |                   0.0 |                    0.0 | 0.0 |                    0.0 |                   0.0 | 0.0 |
