|                           Parameters |                       0 |   1 |                      2 |                      3 |                       4 |                       5 |                     6 |                     7 |   8 |                      9 |  10 |                     11 |                     12 |  13 |
|           Crablog.spectral.amplitude |  2.7741048556671014e-21 | 0.0 | -2.942462351156686e-10 |  8.912298035460831e-11 | -1.3972952799942335e-13 |  3.0102521921218474e-14 |                   0.0 |                   0.0 | 0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
|           Crablog.spectral.reference |                     0.0 | 0.0 |                    0.0 |                    0.0 |                     0.0 |                     0.0 |                   0.0 |                   0.0 | 0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
|               Crablog.spectral.alpha |  -2.942462351156686e-10 | 0.0 |       32.7650110777147 |      -9.69152328795885 |    0.015434260975320576 |   -0.003319475363607429 |                   0.0 |                   0.0 | 0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
|                Crablog.spectral.beta |   8.912298035460831e-11 | 0.0 |      -9.69152328795885 |     2.9906156562223845 |  -0.0045543807511316745 |   0.0009802916527078707 |                   0.0 |                   0.0 | 0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
|                Crablog.spatial.lon_0 | -1.3972952799942335e-13 | 0.0 |   0.015434260975320576 | -0.0045543807511316745 |  0.00024005369715687127 | -1.5856464163479583e-06 |                   0.0 |                   0.0 | 0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
|                Crablog.spatial.lat_0 |  3.0102521921218474e-14 | 0.0 |  -0.003319475363607429 |  0.0009802916527078707 | -1.5856464163479583e-06 |  0.00017475158773365448 |                   0.0 |                   0.0 | 0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
|           477jB3Co-bkg.spectral.norm |                     0.0 | 0.0 |                    0.0 |                    0.0 |                     0.0 |                     0.0 |  0.004980733911729138 | 0.0004060721796436114 | 0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
|           477jB3Co-bkg.spectral.tilt |                     0.0 | 0.0 |                    0.0 |                    0.0 |                     0.0 |                     0.0 | 0.0004060721796436114 |  0.005815348468849811 | 0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
|      477jB3Co-bkg.spectral.reference |                     0.0 | 0.0 |                    0.0 |                    0.0 |                     0.0 |                     0.0 |                   0.0 |                   0.0 | 0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
|       477jB3Co-irf.e_reco_model.bias |                     0.0 | 0.0 |                    0.0 |                    0.0 |                     0.0 |                     0.0 |                   0.0 |                   0.0 | 0.0 |    0.06901541541415995 | 0.0 |  -0.004067112620104622 | 2.9918040594261532e-09 | 0.0 |
| 477jB3Co-irf.e_reco_model.resolution |                     0.0 | 0.0 |                    0.0 |                    0.0 |                     0.0 |                     0.0 |                   0.0 |                   0.0 | 0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
|           477jB3Co-irf.spectral.norm |                     0.0 | 0.0 |                    0.0 |                    0.0 |                     0.0 |                     0.0 |                   0.0 |                   0.0 | 0.0 |  -0.004067112620104622 | 0.0 |   0.009319640537117506 | 2.3052562268823218e-10 | 0.0 |
|           477jB3Co-irf.spectral.tilt |                     0.0 | 0.0 |                    0.0 |                    0.0 |                     0.0 |                     0.0 |                   0.0 |                   0.0 | 0.0 | 2.9918040594261532e-09 | 0.0 | 2.3052562268823218e-10 |  0.0003713134933320852 | 0.0 |
|      477jB3Co-irf.spectral.reference |                     0.0 | 0.0 |                    0.0 |                    0.0 |                     0.0 |                     0.0 |                   0.0 |                   0.0 | 0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
