|                      Parameters |                       0 |                       1 |   2 |   3 |   4 |                       5 |   6 |   7 |                       8 |                      9 |  10 |
|           Source.spectral.index |    0.003320510196618018 |    3.39291333418825e-15 | 0.0 | 0.0 | 0.0 | -3.7273017930725885e-06 | 0.0 | 0.0 |  -6.602241660535044e-06 | -6.714846332831977e-06 | 0.0 |
|       Source.spectral.amplitude |    3.39291333418825e-15 |   6.965308395241966e-27 | 0.0 | 0.0 | 0.0 |   4.634921891110693e-17 | 0.0 | 0.0 | -1.3989450056308458e-17 | -5.832760641715352e-18 | 0.0 |
|       Source.spectral.reference |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                    0.0 | 0.0 |
|            Source.spatial.lon_0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                    0.0 | 0.0 |
|            Source.spatial.lat_0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                    0.0 | 0.0 |
|            Source.spatial.sigma | -3.7273017930725885e-06 |   4.634921891110693e-17 | 0.0 | 0.0 | 0.0 |  0.00012629048948325247 | 0.0 | 0.0 |  -8.403557826430242e-08 | 3.9839715962336495e-08 | 0.0 |
|                Source.spatial.e |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                    0.0 | 0.0 |
|              Source.spatial.phi |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                    0.0 | 0.0 |
|      LbyJRUAr-bkg.spectral.norm |  -6.602241660535044e-06 | -1.3989450056308458e-17 | 0.0 | 0.0 | 0.0 |  -8.403557826430242e-08 | 0.0 | 0.0 |   4.267017984181088e-06 |  2.374716254717647e-06 | 0.0 |
|      LbyJRUAr-bkg.spectral.tilt |  -6.714846332831977e-06 |  -5.832760641715352e-18 | 0.0 | 0.0 | 0.0 |  3.9839715962336495e-08 | 0.0 | 0.0 |   2.374716254717647e-06 |  3.845054134113712e-06 | 0.0 |
| LbyJRUAr-bkg.spectral.reference |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                    0.0 | 0.0 |
