|                      Parameters |                      0 |                       1 |   2 |                      3 |   4 |                       5 |                       6 |                       7 |                      8 |   9 |
|         Y1yXTNX-.spectral.index |   0.008134290234125421 |  -3.801572404314009e-15 | 0.0 |  -0.002888097075012349 | 0.0 |  1.6726133930084902e-07 |  -3.936317497628316e-08 |  -3.707961176055099e-06 | -1.535702686329219e-05 | 0.0 |
|     Y1yXTNX-.spectral.amplitude | -3.801572404314009e-15 |  4.6117029559844324e-27 | 0.0 |  2.109828349753595e-15 | 0.0 |   -9.70676530551061e-19 |  2.4776836695138438e-19 | -1.3315076783609583e-17 | -3.767581240027097e-18 | 0.0 |
|     Y1yXTNX-.spectral.reference |                    0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                     0.0 |                     0.0 |                    0.0 | 0.0 |
|       Y1yXTNX-.spectral.lambda_ |  -0.002888097075012349 |   2.109828349753595e-15 | 0.0 |  0.0014443106592830898 | 0.0 |     3.1864844281933e-08 |  5.8500731086307376e-09 |   7.087801239687667e-07 | -5.717509538566565e-07 | 0.0 |
|         Y1yXTNX-.spectral.alpha |                    0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                     0.0 |                     0.0 |                    0.0 | 0.0 |
|          Y1yXTNX-.spatial.lon_0 | 1.6726133930084902e-07 |   -9.70676530551061e-19 | 0.0 |    3.1864844281933e-08 | 0.0 |   4.440676333424459e-06 | -1.2889997879350983e-10 |  2.8232760043619664e-08 | -2.981829185408083e-09 | 0.0 |
|          Y1yXTNX-.spatial.lat_0 | -3.936317497628316e-08 |  2.4776836695138438e-19 | 0.0 | 5.8500731086307376e-09 | 0.0 | -1.2889997879350983e-10 |   3.326627467708402e-06 |  -6.304574376867837e-09 |  8.808528439917801e-10 | 0.0 |
|      6ovjoMxJ-bkg.spectral.norm | -3.707961176055099e-06 | -1.3315076783609583e-17 | 0.0 |  7.087801239687667e-07 | 0.0 |  2.8232760043619664e-08 |  -6.304574376867837e-09 |   3.508757809011294e-05 | 2.8875635648112586e-06 | 0.0 |
|      6ovjoMxJ-bkg.spectral.tilt | -1.535702686329219e-05 |  -3.767581240027097e-18 | 0.0 | -5.717509538566565e-07 | 0.0 |  -2.981829185408083e-09 |   8.808528439917801e-10 |  2.8875635648112586e-06 |  4.086685606719706e-05 | 0.0 |
| 6ovjoMxJ-bkg.spectral.reference |                    0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                     0.0 |                     0.0 |                    0.0 | 0.0 |
