|                      Parameters |                      0 |                      1 |   2 |                       3 |   4 |                       5 |                      6 |                      7 |   8 |   9 |
|         TQLL36So.spectral.index |   0.004971567733044293 |  5.504039246206178e-17 | 0.0 |  -0.0006593731418695274 | 0.0 |  1.6198148371424964e-06 |  -8.18367690385437e-08 | -1.682909763836835e-06 | 0.0 | 0.0 |
|     TQLL36So.spectral.amplitude |  5.504039246206178e-17 |  2.992271759321465e-27 | 0.0 |   2.630494939786466e-16 | 0.0 |  -5.706422271827194e-18 |  4.912814025407223e-19 | -5.052484813656022e-18 | 0.0 | 0.0 |
|     TQLL36So.spectral.reference |                    0.0 |                    0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                    0.0 |                    0.0 | 0.0 | 0.0 |
|       TQLL36So.spectral.lambda_ | -0.0006593731418695274 |  2.630494939786466e-16 | 0.0 |  0.00019422057372517722 | 0.0 | -1.3594101217825541e-07 | 2.0400820917729623e-08 |  4.913979550598693e-08 | 0.0 | 0.0 |
|         TQLL36So.spectral.alpha |                    0.0 |                    0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                    0.0 |                    0.0 | 0.0 | 0.0 |
|          TQLL36So.spatial.lon_0 | 1.6198148371424964e-06 | -5.706422271827194e-18 | 0.0 | -1.3594101217825541e-07 | 0.0 |   7.743878755857505e-06 |  1.682137882203437e-09 |  1.610797518695072e-08 | 0.0 | 0.0 |
|          TQLL36So.spatial.lat_0 |  -8.18367690385437e-08 |  4.912814025407223e-19 | 0.0 |  2.0400820917729623e-08 | 0.0 |   1.682137882203437e-09 |  5.772954630926057e-06 | -1.101691537486703e-09 | 0.0 | 0.0 |
|      s9kbRGdq-bkg.spectral.norm | -1.682909763836835e-06 | -5.052484813656022e-18 | 0.0 |   4.913979550598693e-08 | 0.0 |   1.610797518695072e-08 | -1.101691537486703e-09 | 2.4347877322297796e-06 | 0.0 | 0.0 |
|      s9kbRGdq-bkg.spectral.tilt |                    0.0 |                    0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                    0.0 |                    0.0 | 0.0 | 0.0 |
| s9kbRGdq-bkg.spectral.reference |                    0.0 |                    0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                    0.0 |                    0.0 | 0.0 | 0.0 |
