|                      Parameters |                       0 |                       1 |   2 |                       3 |   4 |                       5 |                       6 |                       7 |   8 |   9 |
|         TQLL36So.spectral.index |    0.004720176194107886 |   7.745877735814132e-17 | 0.0 |  -0.0006159458967172481 | 0.0 |  1.5038294891684656e-06 |   -8.24336337377119e-08 | -1.6420267092513042e-06 | 0.0 | 0.0 |
|     TQLL36So.spectral.amplitude |   7.745877735814132e-17 |   3.005489412924098e-27 | 0.0 |  2.4657454044022373e-16 | 0.0 |  -5.523495623821809e-18 |   5.033039211104819e-19 | -5.0797511055168635e-18 | 0.0 | 0.0 |
|     TQLL36So.spectral.reference |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 |
|       TQLL36So.spectral.lambda_ |  -0.0006159458967172481 |  2.4657454044022373e-16 | 0.0 |   0.0001779586111935087 | 0.0 | -1.3179943405500848e-07 |  1.9579528001717812e-08 |  4.7219804340628105e-08 | 0.0 | 0.0 |
|         TQLL36So.spectral.alpha |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 |
|          TQLL36So.spatial.lon_0 |  1.5038294891684656e-06 |  -5.523495623821809e-18 | 0.0 | -1.3179943405500848e-07 | 0.0 |    7.39128091527808e-06 |  1.5441758441182248e-09 |  1.5595377315270745e-08 | 0.0 | 0.0 |
|          TQLL36So.spatial.lat_0 |   -8.24336337377119e-08 |   5.033039211104819e-19 | 0.0 |  1.9579528001717812e-08 | 0.0 |  1.5441758441182248e-09 |   5.511037415018856e-06 | -1.1509598199314825e-09 | 0.0 | 0.0 |
|      bEEPY5En-bkg.spectral.norm | -1.6420267092513042e-06 | -5.0797511055168635e-18 | 0.0 |  4.7219804340628105e-08 | 0.0 |  1.5595377315270745e-08 | -1.1509598199314825e-09 |     2.4348829845511e-06 | 0.0 | 0.0 |
|      bEEPY5En-bkg.spectral.tilt |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 |
| bEEPY5En-bkg.spectral.reference |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 |
