|                      Parameters |                       0 |                      1 |   2 |   3 |   4 |                      5 |                       6 |                       7 |   8 |   9 |
|         TQLL36So.spectral.index |   0.0023757686860879563 |  7.830951739344385e-16 | 0.0 | 0.0 | 0.0 |  9.711925285900856e-07 | -3.0989952872598683e-09 | -1.3253362165535626e-06 | 0.0 | 0.0 |
|     TQLL36So.spectral.amplitude |   7.830951739344385e-16 | 2.5053989025191488e-27 | 0.0 | 0.0 | 0.0 | -5.418630251078894e-18 |   4.862230659362245e-19 |  -4.985287143771059e-18 | 0.0 | 0.0 |
|     TQLL36So.spectral.reference |                     0.0 |                    0.0 | 0.0 | 0.0 | 0.0 |                    0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 |
|       TQLL36So.spectral.lambda_ |                     0.0 |                    0.0 | 0.0 | 0.0 | 0.0 |                    0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 |
|         TQLL36So.spectral.alpha |                     0.0 |                    0.0 | 0.0 | 0.0 | 0.0 |                    0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 |
|          TQLL36So.spatial.lon_0 |   9.711925285900856e-07 | -5.418630251078894e-18 | 0.0 | 0.0 | 0.0 |  7.509307982448748e-06 |  1.6690874948597573e-09 |  1.6080590139716032e-08 | 0.0 | 0.0 |
|          TQLL36So.spatial.lat_0 | -3.0989952872598683e-09 |  4.862230659362245e-19 | 0.0 | 0.0 | 0.0 | 1.6690874948597573e-09 |  5.5987348496855495e-06 | -1.2028857896265083e-09 | 0.0 | 0.0 |
|      uPA95ljo-bkg.spectral.norm | -1.3253362165535626e-06 | -4.985287143771059e-18 | 0.0 | 0.0 | 0.0 | 1.6080590139716032e-08 | -1.2028857896265083e-09 |   2.434816856576474e-06 | 0.0 | 0.0 |
|      uPA95ljo-bkg.spectral.tilt |                     0.0 |                    0.0 | 0.0 | 0.0 | 0.0 |                    0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 |
| uPA95ljo-bkg.spectral.reference |                     0.0 |                    0.0 | 0.0 | 0.0 | 0.0 |                    0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 |
