|                      Parameters |                      0 |                       1 |   2 |                      3 |   4 |                       5 |                       6 |                       7 |                       8 |   9 |
|         Y1yXTNX-.spectral.index |   0.006708649014437132 |  -3.290895102872111e-15 | 0.0 |  -0.002238521703717393 | 0.0 |   2.963033080393122e-07 |  -7.290521581438322e-08 |  -4.192984763539927e-06 |   -1.94794244615083e-05 | 0.0 |
|     Y1yXTNX-.spectral.amplitude | -3.290895102872111e-15 |   3.515911307322751e-27 | 0.0 |  1.686463554138595e-15 | 0.0 |  -1.059498351842438e-18 |   2.707560726221128e-19 | -1.0619892015693886e-17 |  2.4511377338160984e-18 | 0.0 |
|     Y1yXTNX-.spectral.reference |                    0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 | 0.0 |
|       Y1yXTNX-.spectral.lambda_ |  -0.002238521703717393 |   1.686463554138595e-15 | 0.0 |  0.0012005620431639638 | 0.0 |   6.814801085280132e-09 |  1.2648994523807005e-08 |    9.01910529807353e-07 |  1.0235902495344464e-06 | 0.0 |
|         Y1yXTNX-.spectral.alpha |                    0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 | 0.0 |
|          Y1yXTNX-.spatial.lon_0 |  2.963033080393122e-07 |  -1.059498351842438e-18 | 0.0 |  6.814801085280132e-09 | 0.0 |   4.930764700291963e-06 | -1.5077592561886967e-10 |   3.167850675081964e-08 | -4.3188076689662005e-09 | 0.0 |
|          Y1yXTNX-.spatial.lat_0 | -7.290521581438322e-08 |   2.707560726221128e-19 | 0.0 | 1.2648994523807005e-08 | 0.0 | -1.5077592561886967e-10 |  3.6931833702595958e-06 |  -7.183056761395787e-09 |  1.2495044064973524e-09 | 0.0 |
|      Xf3wQFmb-bkg.spectral.norm | -4.192984763539927e-06 | -1.0619892015693886e-17 | 0.0 |   9.01910529807353e-07 | 0.0 |   3.167850675081964e-08 |  -7.183056761395787e-09 |   3.507793708594223e-05 |  2.8838433139545406e-06 | 0.0 |
|      Xf3wQFmb-bkg.spectral.tilt |  -1.94794244615083e-05 |  2.4511377338160984e-18 | 0.0 | 1.0235902495344464e-06 | 0.0 | -4.3188076689662005e-09 |  1.2495044064973524e-09 |  2.8838433139545406e-06 |   4.087433450590615e-05 | 0.0 |
| Xf3wQFmb-bkg.spectral.reference |                    0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 | 0.0 |
