|                     Parameters |                      0 |                      1 |   2 |                      3 |   4 |                       5 |                       6 |                      7 |                      8 |   9 |
|         Crablog.spectral.index |     0.1630768504917381 | -3.056755065554812e-12 | 0.0 |  -0.057578296393028264 | 0.0 |  3.5632022015702415e-06 |  -6.034753129865467e-07 |                    0.0 |                    0.0 | 0.0 |
|     Crablog.spectral.amplitude | -3.056755065554812e-12 |  1.322443460873107e-22 | 0.0 | 1.6487298127087424e-12 | 0.0 |  -6.096774319971573e-16 |  1.4346329938032848e-16 |                    0.0 |                    0.0 | 0.0 |
|     Crablog.spectral.reference |                    0.0 |                    0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                     0.0 |                    0.0 |                    0.0 | 0.0 |
|       Crablog.spectral.lambda_ |  -0.057578296393028264 | 1.6487298127087424e-12 | 0.0 |   0.030288015348985932 | 0.0 |  1.6523025471267737e-07 |   2.637970830177547e-07 |                    0.0 |                    0.0 | 0.0 |
|         Crablog.spectral.alpha |                    0.0 |                    0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                     0.0 |                    0.0 |                    0.0 | 0.0 |
|          Crablog.spatial.lon_0 | 3.5632022015702415e-06 | -6.096774319971573e-16 | 0.0 | 1.6523025471267737e-07 | 0.0 |  0.00011228915616008232 | -3.7953272380069775e-09 |                    0.0 |                    0.0 | 0.0 |
|          Crablog.spatial.lat_0 | -6.034753129865467e-07 | 1.4346329938032848e-16 | 0.0 |  2.637970830177547e-07 | 0.0 | -3.7953272380069775e-09 |   8.417587770341448e-05 |                    0.0 |                    0.0 | 0.0 |
|      dataset-bkg.spectral.norm |                    0.0 |                    0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                     0.0 |   0.002485052941667606 | 0.00020132779314277637 | 0.0 |
|      dataset-bkg.spectral.tilt |                    0.0 |                    0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                     0.0 | 0.00020132779314277637 |  0.0028911242423832013 | 0.0 |
| dataset-bkg.spectral.reference |                    0.0 |                    0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                     0.0 |                    0.0 |                    0.0 | 0.0 |
