|                     Parameters |                       0 |                       1 |   2 |                       3 |   4 |                       5 |                      6 |                      7 |                      8 |   9 |
|         Crablog.spectral.index |   0.0008013595634286018 | -1.5541239593913686e-14 | 0.0 | -0.00028883953025644736 | 0.0 |  2.1895871573165773e-08 |  7.505210030069914e-09 |                    0.0 |                    0.0 | 0.0 |
|     Crablog.spectral.amplitude | -1.5541239593913686e-14 |   6.530403051286244e-25 | 0.0 |   8.292164284893937e-15 | 0.0 | -2.3031819813656364e-18 | 1.0288833492899596e-18 |                    0.0 |                    0.0 | 0.0 |
|     Crablog.spectral.reference |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                    0.0 |                    0.0 |                    0.0 | 0.0 |
|       Crablog.spectral.lambda_ | -0.00028883953025644736 |   8.292164284893937e-15 | 0.0 |  0.00015079417865856767 | 0.0 |  1.7297348143694647e-08 | 1.4665240153925586e-08 |                    0.0 |                    0.0 | 0.0 |
|         Crablog.spectral.alpha |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                    0.0 |                    0.0 |                    0.0 | 0.0 |
|          Crablog.spatial.lon_0 |  2.1895871573165773e-08 | -2.3031819813656364e-18 | 0.0 |  1.7297348143694647e-08 | 0.0 |   5.184901072727689e-07 |  9.850901494649763e-10 |                    0.0 |                    0.0 | 0.0 |
|          Crablog.spatial.lat_0 |   7.505210030069914e-09 |  1.0288833492899596e-18 | 0.0 |  1.4665240153925586e-08 | 0.0 |   9.850901494649763e-10 |  3.878951287852491e-07 |                    0.0 |                    0.0 | 0.0 |
|      dataset-bkg.spectral.norm |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                    0.0 | 1.1534157107445626e-05 |  9.283501474046908e-07 | 0.0 |
|      dataset-bkg.spectral.tilt |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                    0.0 |  9.283501474046908e-07 | 1.3418653408315436e-05 | 0.0 |
| dataset-bkg.spectral.reference |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                    0.0 |                    0.0 |                    0.0 | 0.0 |
