|                     Parameters |                       0 |                      1 |   2 |                       3 |   4 |                      5 |                      6 |                     7 |                     8 |   9 |
|         Crablog.spectral.index |  0.00037664159370987547 | -7.302280660491807e-15 | 0.0 | -0.00013603729238836435 | 0.0 |  1.073306575609804e-08 | 3.5208162418455144e-09 |                   0.0 |                   0.0 | 0.0 |
|     Crablog.spectral.amplitude |  -7.302280660491807e-15 | 3.0478147757736043e-25 | 0.0 |   3.885790730521536e-15 | 0.0 | -1.074932137978326e-18 |  4.789109168250836e-19 |                   0.0 |                   0.0 | 0.0 |
|     Crablog.spectral.reference |                     0.0 |                    0.0 | 0.0 |                     0.0 | 0.0 |                    0.0 |                    0.0 |                   0.0 |                   0.0 | 0.0 |
|       Crablog.spectral.lambda_ | -0.00013603729238836435 |  3.885790730521536e-15 | 0.0 |   7.080137599260039e-05 | 0.0 |  7.776345510633862e-09 |   6.76872519846859e-09 |                   0.0 |                   0.0 | 0.0 |
|         Crablog.spectral.alpha |                     0.0 |                    0.0 | 0.0 |                     0.0 | 0.0 |                    0.0 |                    0.0 |                   0.0 |                   0.0 | 0.0 |
|          Crablog.spatial.lon_0 |   1.073306575609804e-08 | -1.074932137978326e-18 | 0.0 |   7.776345510633862e-09 | 0.0 |  2.406630464964469e-07 | 4.5743096805252947e-10 |                   0.0 |                   0.0 | 0.0 |
|          Crablog.spatial.lat_0 |  3.5208162418455144e-09 |  4.789109168250836e-19 | 0.0 |    6.76872519846859e-09 | 0.0 | 4.5743096805252947e-10 |  1.800444102752717e-07 |                   0.0 |                   0.0 | 0.0 |
|      dataset-bkg.spectral.norm |                     0.0 |                    0.0 | 0.0 |                     0.0 | 0.0 |                    0.0 |                    0.0 | 5.353487352850136e-06 | 4.292263485975358e-07 | 0.0 |
|      dataset-bkg.spectral.tilt |                     0.0 |                    0.0 | 0.0 |                     0.0 | 0.0 |                    0.0 |                    0.0 | 4.292263485975358e-07 | 6.228100415974979e-06 | 0.0 |
| dataset-bkg.spectral.reference |                     0.0 |                    0.0 | 0.0 |                     0.0 | 0.0 |                    0.0 |                    0.0 |                   0.0 |                   0.0 | 0.0 |
