|                            Parameters |                       0 |                       1 |   2 |                      3 |   4 |                       5 |                       6 |                      7 |                      8 |   9 |                   10 |  11 |  12 |  13 |  14 |
|                Crablog.spectral.index |    0.032788092917082956 |  -4.265232306559992e-13 | 0.0 |  -0.007833732534058306 | 0.0 |   7.810819322629546e-06 | -2.4995076278782493e-06 |                    0.0 |                    0.0 | 0.0 |                  0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|            Crablog.spectral.amplitude |  -4.265232306559992e-13 |  1.4173713399820422e-23 | 0.0 |  1.812489773555934e-13 | 0.0 | -1.0996761852811608e-16 |   3.561908397801917e-17 |                    0.0 |                    0.0 | 0.0 |                  0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|            Crablog.spectral.reference |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                     0.0 |                    0.0 |                    0.0 | 0.0 |                  0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|              Crablog.spectral.lambda_ |   -0.007833732534058306 |   1.812489773555934e-13 | 0.0 |  0.0033123804286024684 | 0.0 |  -8.931376129392891e-07 |    3.11939652581759e-07 |                    0.0 |                    0.0 | 0.0 |                  0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|                Crablog.spectral.alpha |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                     0.0 |                    0.0 |                    0.0 | 0.0 |                  0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|                 Crablog.spatial.lon_0 |   7.810819322629546e-06 | -1.0996761852811608e-16 | 0.0 | -8.931376129392891e-07 | 0.0 |   1.122851408167811e-05 | -2.3222386360101764e-09 |                    0.0 |                    0.0 | 0.0 |                  0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|                 Crablog.spatial.lat_0 | -2.4995076278782493e-06 |   3.561908397801917e-17 | 0.0 |   3.11939652581759e-07 | 0.0 | -2.3222386360101764e-09 |   8.415265708074485e-06 |                    0.0 |                    0.0 | 0.0 |                  0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|           dataset_N-bkg.spectral.norm |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                     0.0 |   0.000248529385336828 | 2.0186645371314145e-05 | 0.0 |                  0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|           dataset_N-bkg.spectral.tilt |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                     0.0 | 2.0186645371314145e-05 |  0.0002891309225861478 | 0.0 |                  0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|      dataset_N-bkg.spectral.reference |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                     0.0 |                    0.0 |                    0.0 | 0.0 |                  0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|       dataset_N-irf.e_reco_model.bias |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                     0.0 |                    0.0 |                    0.0 | 0.0 | 0.003932756234137851 | 0.0 | 0.0 | 0.0 | 0.0 |
| dataset_N-irf.e_reco_model.resolution |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                     0.0 |                    0.0 |                    0.0 | 0.0 |                  0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|           dataset_N-irf.spectral.norm |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                     0.0 |                    0.0 |                    0.0 | 0.0 |                  0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|           dataset_N-irf.spectral.tilt |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                     0.0 |                    0.0 |                    0.0 | 0.0 |                  0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|      dataset_N-irf.spectral.reference |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                     0.0 |                    0.0 |                    0.0 | 0.0 |                  0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
