|                     Parameters |                       0 |                       1 |   2 |                      3 |   4 |                      5 |                      6 |                      7 |                      8 |   9 |
|         Crablog.spectral.index |    0.006982093769969238 | -1.1194892250319228e-13 | 0.0 | -0.0021990543667957468 | 0.0 |  5.660793577342238e-07 | -5.123173244702923e-07 |                    0.0 |                    0.0 | 0.0 |
|     Crablog.spectral.amplitude | -1.1194892250319228e-13 |   4.576947201353628e-24 | 0.0 |  5.532613167939684e-14 | 0.0 | -2.201185532793051e-18 |  3.349961069170974e-18 |                    0.0 |                    0.0 | 0.0 |
|     Crablog.spectral.reference |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 |                    0.0 |                    0.0 | 0.0 |
|       Crablog.spectral.lambda_ |  -0.0021990543667957468 |   5.532613167939684e-14 | 0.0 |  0.0010715465367271474 | 0.0 |  4.451749784296134e-07 |  6.525580935738388e-08 |                    0.0 |                    0.0 | 0.0 |
|         Crablog.spectral.alpha |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 |                    0.0 |                    0.0 | 0.0 |
|          Crablog.spatial.lon_0 |   5.660793577342238e-07 |  -2.201185532793051e-18 | 0.0 |  4.451749784296134e-07 | 0.0 |  5.575945397480324e-06 | 1.1305009347358249e-07 |                    0.0 |                    0.0 | 0.0 |
|          Crablog.spatial.lat_0 |  -5.123173244702923e-07 |   3.349961069170974e-18 | 0.0 |  6.525580935738388e-08 | 0.0 | 1.1305009347358249e-07 |  3.934922541281526e-06 |                    0.0 |                    0.0 | 0.0 |
|      dataset-bkg.spectral.norm |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 | 0.00011465199922996023 | 1.1131909705789953e-05 | 0.0 |
|      dataset-bkg.spectral.tilt |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 | 1.1131909705789953e-05 |  0.0001325283181810956 | 0.0 |
| dataset-bkg.spectral.reference |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 |                    0.0 |                    0.0 | 0.0 |
