|                     Parameters |                       0 |                       1 |   2 |                       3 |   4 |                      5 |                       6 |                      7 |                     8 |   9 |
|         Crablog.spectral.index |   0.0068321933957816005 | -1.1054048605062275e-13 | 0.0 |  -0.0021550888853635857 | 0.0 | -9.741373593155295e-07 |   4.688725163999779e-07 |                    0.0 |                   0.0 | 0.0 |
|     Crablog.spectral.amplitude | -1.1054048605062275e-13 |   4.654967410231865e-24 | 0.0 |   5.570505560262806e-14 | 0.0 |  -3.20030004723989e-17 |   5.762641970860327e-18 |                    0.0 |                   0.0 | 0.0 |
|     Crablog.spectral.reference |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                    0.0 |                     0.0 |                    0.0 |                   0.0 | 0.0 |
|       Crablog.spectral.lambda_ |  -0.0021550888853635857 |   5.570505560262806e-14 | 0.0 |   0.0010704947654326827 | 0.0 |  8.023857058540932e-08 | -1.3964108329718493e-07 |                    0.0 |                   0.0 | 0.0 |
|         Crablog.spectral.alpha |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                    0.0 |                     0.0 |                    0.0 |                   0.0 | 0.0 |
|          Crablog.spatial.lon_0 |  -9.741373593155295e-07 |   -3.20030004723989e-17 | 0.0 |   8.023857058540932e-08 | 0.0 |  5.104547208570124e-06 |  1.4897932727111014e-08 |                    0.0 |                   0.0 | 0.0 |
|          Crablog.spatial.lat_0 |   4.688725163999779e-07 |   5.762641970860327e-18 | 0.0 | -1.3964108329718493e-07 | 0.0 | 1.4897932727111014e-08 |   4.203351180770864e-06 |                    0.0 |                   0.0 | 0.0 |
|      dataset-bkg.spectral.norm |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                    0.0 |                     0.0 | 0.00011633866730246038 | 8.901805240595779e-06 | 0.0 |
|      dataset-bkg.spectral.tilt |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                    0.0 |                     0.0 |  8.901805240595779e-06 |  0.000133636076068167 | 0.0 |
| dataset-bkg.spectral.reference |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                    0.0 |                     0.0 |                    0.0 |                   0.0 | 0.0 |
