|                     Parameters |                       0 |                       1 |   2 |                      3 |   4 |                       5 |                       6 |                      7 |                      8 |   9 |
|         Crablog.spectral.index |    0.008305779179344506 | -1.5456646867728315e-13 | 0.0 | -0.0029575413561571356 | 0.0 |  1.0410911334901705e-06 | -1.0546589155361365e-07 |                    0.0 |                    0.0 | 0.0 |
|     Crablog.spectral.amplitude | -1.5456646867728315e-13 |   5.565175449275292e-24 | 0.0 |  8.035247022512601e-14 | 0.0 | -2.4898468933938734e-17 | -3.1980514775114366e-17 |                    0.0 |                    0.0 | 0.0 |
|     Crablog.spectral.reference |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                     0.0 |                    0.0 |                    0.0 | 0.0 |
|       Crablog.spectral.lambda_ |  -0.0029575413561571356 |   8.035247022512601e-14 | 0.0 |  0.0016494862226932453 | 0.0 |   2.432326027820749e-07 |  -5.161417858468036e-07 |                    0.0 |                    0.0 | 0.0 |
|         Crablog.spectral.alpha |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                     0.0 |                    0.0 |                    0.0 | 0.0 |
|          Crablog.spatial.lon_0 |  1.0410911334901705e-06 | -2.4898468933938734e-17 | 0.0 |  2.432326027820749e-07 | 0.0 |  6.0076990160297875e-06 |  -6.412068524605835e-08 |                    0.0 |                    0.0 | 0.0 |
|          Crablog.spatial.lat_0 | -1.0546589155361365e-07 | -3.1980514775114366e-17 | 0.0 | -5.161417858468036e-07 | 0.0 |  -6.412068524605835e-08 |    4.48770410482703e-06 |                    0.0 |                    0.0 | 0.0 |
|      dataset-bkg.spectral.norm |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                     0.0 | 0.00011257020814378448 |  8.411831241985385e-06 | 0.0 |
|      dataset-bkg.spectral.tilt |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                     0.0 |  8.411831241985385e-06 | 0.00013878565308474657 | 0.0 |
| dataset-bkg.spectral.reference |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                     0.0 |                    0.0 |                    0.0 | 0.0 |
