|                     Parameters |                      0 |                      1 |   2 |                       3 |   4 |                       5 |                      6 |                      7 |                      8 |   9 |
|         Crablog.spectral.index |   0.008110509485222133 | -1.501326608596641e-13 | 0.0 |  -0.0029101605916217353 | 0.0 |  1.5167469241531378e-06 |  6.771169795617874e-07 |                    0.0 |                    0.0 | 0.0 |
|     Crablog.spectral.amplitude | -1.501326608596641e-13 |  6.674973270373515e-24 | 0.0 |   8.224448822474632e-14 | 0.0 |   -7.24713999288136e-17 |  4.468079599256288e-17 |                    0.0 |                    0.0 | 0.0 |
|     Crablog.spectral.reference |                    0.0 |                    0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                    0.0 |                    0.0 |                    0.0 | 0.0 |
|       Crablog.spectral.lambda_ | -0.0029101605916217353 |  8.224448822474632e-14 | 0.0 |   0.0014939651456636776 | 0.0 | -4.7289905303192156e-07 |   6.86383541391085e-08 |                    0.0 |                    0.0 | 0.0 |
|         Crablog.spectral.alpha |                    0.0 |                    0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                    0.0 |                    0.0 |                    0.0 | 0.0 |
|          Crablog.spatial.lon_0 | 1.5167469241531378e-06 |  -7.24713999288136e-17 | 0.0 | -4.7289905303192156e-07 | 0.0 |   5.009581319448034e-06 | 1.2051793348855282e-07 |                    0.0 |                    0.0 | 0.0 |
|          Crablog.spatial.lat_0 |  6.771169795617874e-07 |  4.468079599256288e-17 | 0.0 |    6.86383541391085e-08 | 0.0 |  1.2051793348855282e-07 |  3.618058969472808e-06 |                    0.0 |                    0.0 | 0.0 |
|      dataset-bkg.spectral.norm |                    0.0 |                    0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                    0.0 | 0.00011606181977388694 |  7.606549164733109e-06 | 0.0 |
|      dataset-bkg.spectral.tilt |                    0.0 |                    0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                    0.0 |  7.606549164733109e-06 | 0.00013543566144209464 | 0.0 |
| dataset-bkg.spectral.reference |                    0.0 |                    0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                    0.0 |                    0.0 |                    0.0 | 0.0 |
