|                     Parameters |                       0 |                       1 |   2 |                      3 |   4 |                       5 |                       6 |                     7 |                      8 |   9 |
|         Crablog.spectral.index |    0.006178759368775904 |   -7.52051765226557e-14 | 0.0 | -0.0016894284021199278 | 0.0 | -1.8719235159766056e-06 |  -2.841628953360982e-07 |                   0.0 |                    0.0 | 0.0 |
|     Crablog.spectral.amplitude |   -7.52051765226557e-14 |  3.4767611196681845e-24 | 0.0 |  3.666524812082988e-14 | 0.0 | -4.3072700962597656e-17 |  1.7371562997903962e-17 |                   0.0 |                    0.0 | 0.0 |
|     Crablog.spectral.reference |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                     0.0 |                   0.0 |                    0.0 | 0.0 |
|       Crablog.spectral.lambda_ |  -0.0016894284021199278 |   3.666524812082988e-14 | 0.0 |  0.0007451068234588712 | 0.0 |   3.078742278618828e-07 |  -4.507034398585631e-08 |                   0.0 |                    0.0 | 0.0 |
|         Crablog.spectral.alpha |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                     0.0 |                   0.0 |                    0.0 | 0.0 |
|          Crablog.spatial.lon_0 | -1.8719235159766056e-06 | -4.3072700962597656e-17 | 0.0 |  3.078742278618828e-07 | 0.0 |   5.334221995623212e-06 | -1.4363595718094555e-08 |                   0.0 |                    0.0 | 0.0 |
|          Crablog.spatial.lat_0 |  -2.841628953360982e-07 |  1.7371562997903962e-17 | 0.0 | -4.507034398585631e-08 | 0.0 | -1.4363595718094555e-08 |   3.955417686324928e-06 |                   0.0 |                    0.0 | 0.0 |
|      dataset-bkg.spectral.norm |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                     0.0 | 0.0001168322680111419 |  9.652185873994786e-06 | 0.0 |
|      dataset-bkg.spectral.tilt |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                     0.0 | 9.652185873994786e-06 | 0.00013197655585882185 | 0.0 |
| dataset-bkg.spectral.reference |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                     0.0 |                   0.0 |                    0.0 | 0.0 |
