|                     Parameters |                       0 |                       1 |   2 |                       3 |   4 |                       5 |                       6 |                      7 |                      8 |   9 |
|         Crablog.spectral.index |    0.008638028158220864 | -1.8799614349566027e-13 | 0.0 |    -0.00334722645159748 | 0.0 | -1.0213977729928902e-06 |  1.1454037225049727e-07 |                    0.0 |                    0.0 | 0.0 |
|     Crablog.spectral.amplitude | -1.8799614349566027e-13 |   8.459677999521446e-24 | 0.0 |  1.0562736982015714e-13 | 0.0 |  1.9775250425153657e-17 |  1.3052983832547485e-18 |                    0.0 |                    0.0 | 0.0 |
|     Crablog.spectral.reference |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 |                    0.0 |                    0.0 | 0.0 |
|       Crablog.spectral.lambda_ |    -0.00334722645159748 |  1.0562736982015714e-13 | 0.0 |   0.0018118049528321085 | 0.0 |    6.60499493161897e-07 | -1.3102605599415508e-08 |                    0.0 |                    0.0 | 0.0 |
|         Crablog.spectral.alpha |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 |                    0.0 |                    0.0 | 0.0 |
|          Crablog.spatial.lon_0 | -1.0213977729928902e-06 |  1.9775250425153657e-17 | 0.0 |    6.60499493161897e-07 | 0.0 |   4.631726624317849e-06 |   2.218858009587546e-08 |                    0.0 |                    0.0 | 0.0 |
|          Crablog.spatial.lat_0 |  1.1454037225049727e-07 |  1.3052983832547485e-18 | 0.0 | -1.3102605599415508e-08 | 0.0 |   2.218858009587546e-08 |   3.745252942192631e-06 |                    0.0 |                    0.0 | 0.0 |
|      dataset-bkg.spectral.norm |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.00011664935006093833 |  9.774181014148027e-06 | 0.0 |
|      dataset-bkg.spectral.tilt |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 |  9.774181014148027e-06 | 0.00013200674656292332 | 0.0 |
| dataset-bkg.spectral.reference |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 |                    0.0 |                    0.0 | 0.0 |
