|                     Parameters |                       0 |                      1 |   2 |                      3 |   4 |                       5 |                      6 |                      7 |                      8 |   9 |
|         Crablog.spectral.index |    0.006428799441454259 | -7.403686299381013e-14 | 0.0 | -0.0017587972333312947 | 0.0 | -3.3454594258384296e-07 | -5.289982585705053e-07 |                    0.0 |                    0.0 | 0.0 |
|     Crablog.spectral.amplitude |  -7.403686299381013e-14 | 3.4031019272995946e-24 | 0.0 |  3.671240313777408e-14 | 0.0 |  -7.629125863190235e-18 |   8.56804850851075e-18 |                    0.0 |                    0.0 | 0.0 |
|     Crablog.spectral.reference |                     0.0 |                    0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                    0.0 |                    0.0 |                    0.0 | 0.0 |
|       Crablog.spectral.lambda_ |  -0.0017587972333312947 |  3.671240313777408e-14 | 0.0 |  0.0007730201038076261 | 0.0 |  -3.772650650847994e-09 |  3.414631625377184e-09 |                    0.0 |                    0.0 | 0.0 |
|         Crablog.spectral.alpha |                     0.0 |                    0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                    0.0 |                    0.0 |                    0.0 | 0.0 |
|          Crablog.spatial.lon_0 | -3.3454594258384296e-07 | -7.629125863190235e-18 | 0.0 | -3.772650650847994e-09 | 0.0 |   5.799243287383859e-06 | 1.0253374007060927e-07 |                    0.0 |                    0.0 | 0.0 |
|          Crablog.spatial.lat_0 |  -5.289982585705053e-07 |   8.56804850851075e-18 | 0.0 |  3.414631625377184e-09 | 0.0 |  1.0253374007060927e-07 |  4.213188218973197e-06 |                    0.0 |                    0.0 | 0.0 |
|      dataset-bkg.spectral.norm |                     0.0 |                    0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                    0.0 | 0.00011535646685877885 |  8.946377077965527e-06 | 0.0 |
|      dataset-bkg.spectral.tilt |                     0.0 |                    0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                    0.0 |  8.946377077965527e-06 | 0.00013462637469687872 | 0.0 |
| dataset-bkg.spectral.reference |                     0.0 |                    0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                    0.0 |                    0.0 |                    0.0 | 0.0 |
