|                     Parameters |                       0 |                       1 |   2 |                      3 |   4 |                       5 |                       6 |                      7 |                      8 |   9 |
|         Crablog.spectral.index |   0.0072805404905547265 | -1.4382968605575724e-13 | 0.0 |  -0.002594689082961526 | 0.0 |  -5.338648744299564e-07 |  -6.277374238037795e-07 |                    0.0 |                    0.0 | 0.0 |
|     Crablog.spectral.amplitude | -1.4382968605575724e-13 |  6.4549144744380935e-24 | 0.0 |  7.793079743381028e-14 | 0.0 |  -2.853836659456293e-17 |   1.030743314526586e-17 |                    0.0 |                    0.0 | 0.0 |
|     Crablog.spectral.reference |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                     0.0 |                    0.0 |                    0.0 | 0.0 |
|       Crablog.spectral.lambda_ |   -0.002594689082961526 |   7.793079743381028e-14 | 0.0 |  0.0013758555868484319 | 0.0 |  2.5438336224439194e-08 |  2.8118339699112587e-07 |                    0.0 |                    0.0 | 0.0 |
|         Crablog.spectral.alpha |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                     0.0 |                    0.0 |                    0.0 | 0.0 |
|          Crablog.spatial.lon_0 |  -5.338648744299564e-07 |  -2.853836659456293e-17 | 0.0 | 2.5438336224439194e-08 | 0.0 |   5.061502941966966e-06 | -4.2508308625459304e-08 |                    0.0 |                    0.0 | 0.0 |
|          Crablog.spatial.lat_0 |  -6.277374238037795e-07 |   1.030743314526586e-17 | 0.0 | 2.8118339699112587e-07 | 0.0 | -4.2508308625459304e-08 |  3.7645067428025923e-06 |                    0.0 |                    0.0 | 0.0 |
|      dataset-bkg.spectral.norm |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                     0.0 | 0.00011657067840847754 | 1.0241828974879519e-05 | 0.0 |
|      dataset-bkg.spectral.tilt |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                     0.0 | 1.0241828974879519e-05 |   0.000131739669307408 | 0.0 |
| dataset-bkg.spectral.reference |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                     0.0 |                    0.0 |                    0.0 | 0.0 |
