|                     Parameters |                      0 |                      1 |   2 |                      3 |   4 |                      5 |                      6 |                      7 |                      8 |   9 |
|         Crablog.spectral.index |    0.00945494788460009 |  -1.89960706801781e-13 | 0.0 | -0.0036690822841522718 | 0.0 | -6.370750539065175e-07 | 1.3792164905962006e-07 |                    0.0 |                    0.0 | 0.0 |
|     Crablog.spectral.amplitude |  -1.89960706801781e-13 |    7.9528031115106e-24 | 0.0 | 1.0804182357748705e-13 | 0.0 | -1.701760308948056e-17 |  3.926105717935148e-17 |                    0.0 |                    0.0 | 0.0 |
|     Crablog.spectral.reference |                    0.0 |                    0.0 | 0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 |                    0.0 |                    0.0 | 0.0 |
|       Crablog.spectral.lambda_ | -0.0036690822841522718 | 1.0804182357748705e-13 | 0.0 |   0.002016461649184632 | 0.0 |  9.818917392339543e-08 | 1.8096644741663607e-07 |                    0.0 |                    0.0 | 0.0 |
|         Crablog.spectral.alpha |                    0.0 |                    0.0 | 0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 |                    0.0 |                    0.0 | 0.0 |
|          Crablog.spatial.lon_0 | -6.370750539065175e-07 | -1.701760308948056e-17 | 0.0 |  9.818917392339543e-08 | 0.0 |  5.477719326920355e-06 | 2.8012269140469558e-08 |                    0.0 |                    0.0 | 0.0 |
|          Crablog.spatial.lat_0 | 1.3792164905962006e-07 |  3.926105717935148e-17 | 0.0 | 1.8096644741663607e-07 | 0.0 | 2.8012269140469558e-08 |  4.153980791613048e-06 |                    0.0 |                    0.0 | 0.0 |
|      dataset-bkg.spectral.norm |                    0.0 |                    0.0 | 0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 | 0.00011495522864377141 |  9.876224964780077e-06 | 0.0 |
|      dataset-bkg.spectral.tilt |                    0.0 |                    0.0 | 0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 |  9.876224964780077e-06 | 0.00013381555711904376 | 0.0 |
| dataset-bkg.spectral.reference |                    0.0 |                    0.0 | 0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 |                    0.0 |                    0.0 | 0.0 |
