|                     Parameters |                       0 |                       1 |   2 |                      3 |   4 |                      5 |                       6 |                      7 |                     8 |   9 |
|         Crablog.spectral.index |     0.01008145678333805 | -2.3187027559015955e-13 | 0.0 |  -0.004187214027419287 | 0.0 | -5.793948414310125e-07 | -5.0138227390274015e-08 |                    0.0 |                   0.0 | 0.0 |
|     Crablog.spectral.amplitude | -2.3187027559015955e-13 |  1.0102703771101793e-23 | 0.0 |  1.355155000102699e-13 | 0.0 | -2.390539768266739e-17 | -3.9759297508383845e-18 |                    0.0 |                   0.0 | 0.0 |
|     Crablog.spectral.reference |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                    0.0 |                     0.0 |                    0.0 |                   0.0 | 0.0 |
|       Crablog.spectral.lambda_ |   -0.004187214027419287 |   1.355155000102699e-13 | 0.0 |  0.0023763366713938396 | 0.0 | 1.8215587215971097e-07 |   9.106604461890101e-09 |                    0.0 |                   0.0 | 0.0 |
|         Crablog.spectral.alpha |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                    0.0 |                     0.0 |                    0.0 |                   0.0 | 0.0 |
|          Crablog.spatial.lon_0 |  -5.793948414310125e-07 |  -2.390539768266739e-17 | 0.0 | 1.8215587215971097e-07 | 0.0 |  5.098382268301908e-06 |  -9.550745988770855e-08 |                    0.0 |                   0.0 | 0.0 |
|          Crablog.spatial.lat_0 | -5.0138227390274015e-08 | -3.9759297508383845e-18 | 0.0 |  9.106604461890101e-09 | 0.0 | -9.550745988770855e-08 |   3.811377655847394e-06 |                    0.0 |                   0.0 | 0.0 |
|      dataset-bkg.spectral.norm |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                    0.0 |                     0.0 | 0.00011431600527670521 | 1.039716733284471e-05 | 0.0 |
|      dataset-bkg.spectral.tilt |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                    0.0 |                     0.0 |  1.039716733284471e-05 | 0.0001336574315354009 | 0.0 |
| dataset-bkg.spectral.reference |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                    0.0 |                     0.0 |                    0.0 |                   0.0 | 0.0 |
