|                     Parameters |                       0 |                       1 |   2 |                      3 |   4 |                       5 |                      6 |                      7 |                      8 |   9 |
|         Crablog.spectral.index |    0.007957529292855613 | -1.0814077858693891e-13 | 0.0 |  -0.002598270508918794 | 0.0 |   5.875589457275198e-08 |  8.268738935033715e-07 |                    0.0 |                    0.0 | 0.0 |
|     Crablog.spectral.amplitude | -1.0814077858693891e-13 |  5.1948561600817625e-24 | 0.0 |  5.983066198454656e-14 | 0.0 | -2.7494322952259395e-17 | -1.499508524170812e-17 |                    0.0 |                    0.0 | 0.0 |
|     Crablog.spectral.reference |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                    0.0 |                    0.0 |                    0.0 | 0.0 |
|       Crablog.spectral.lambda_ |   -0.002598270508918794 |   5.983066198454656e-14 | 0.0 |   0.001193285194806565 | 0.0 |  -9.681725307297733e-08 | -3.285069519219024e-07 |                    0.0 |                    0.0 | 0.0 |
|         Crablog.spectral.alpha |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                    0.0 |                    0.0 |                    0.0 | 0.0 |
|          Crablog.spatial.lon_0 |   5.875589457275198e-08 | -2.7494322952259395e-17 | 0.0 | -9.681725307297733e-08 | 0.0 |   4.977765174881884e-06 |   6.47692724745204e-08 |                    0.0 |                    0.0 | 0.0 |
|          Crablog.spatial.lat_0 |   8.268738935033715e-07 |  -1.499508524170812e-17 | 0.0 | -3.285069519219024e-07 | 0.0 |    6.47692724745204e-08 | 3.5985401040991297e-06 |                    0.0 |                    0.0 | 0.0 |
|      dataset-bkg.spectral.norm |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                    0.0 | 0.00011461640733884022 | 1.0800004297998187e-05 | 0.0 |
|      dataset-bkg.spectral.tilt |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                    0.0 | 1.0800004297998187e-05 | 0.00013249123927331952 | 0.0 |
| dataset-bkg.spectral.reference |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                    0.0 |                    0.0 |                    0.0 | 0.0 |
