|                            Parameters |                       0 |                       1 |   2 |                      3 |   4 |                       5 |                       6 |                     7 |   8 |   9 |  10 |  11 |                     12 |                     13 |  14 |
|                Crablog.spectral.index |    0.009230415931573909 | -1.2333877631370772e-13 | 0.0 |  -0.002423002170838928 | 0.0 |  2.1827332113341098e-06 | -1.3466533795592333e-06 |                   0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
|            Crablog.spectral.amplitude | -1.2333877631370772e-13 |   4.612341403415126e-24 | 0.0 |   5.62004153600689e-14 | 0.0 | -1.1259436137951756e-17 |   7.945850667454069e-18 |                   0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
|            Crablog.spectral.reference |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                     0.0 |                   0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
|              Crablog.spectral.lambda_ |   -0.002423002170838928 |    5.62004153600689e-14 | 0.0 |  0.0010900689793564577 | 0.0 |  2.6838686772360707e-07 |   1.565633567945973e-07 |                   0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
|                Crablog.spectral.alpha |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                     0.0 |                   0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
|                 Crablog.spatial.lon_0 |  2.1827332113341098e-06 | -1.1259436137951756e-17 | 0.0 | 2.6838686772360707e-07 | 0.0 |   5.580582036001886e-06 |  1.1728507904361467e-07 |                   0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
|                 Crablog.spatial.lat_0 | -1.3466533795592333e-06 |   7.945850667454069e-18 | 0.0 |  1.565633567945973e-07 | 0.0 |  1.1728507904361467e-07 |   3.933774813692853e-06 |                   0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
|       dataset_N-irf.e_reco_model.bias |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                     0.0 | 0.0004311405868778638 | 0.0 | 0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
| dataset_N-irf.e_reco_model.resolution |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                     0.0 |                   0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
|           dataset_N-irf.spectral.norm |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                     0.0 |                   0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
|           dataset_N-irf.spectral.tilt |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                     0.0 |                   0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
|      dataset_N-irf.spectral.reference |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                     0.0 |                   0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
|           dataset_N-bkg.spectral.norm |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                     0.0 |                   0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.00011464786565599203 | 1.1133032082540209e-05 | 0.0 |
|           dataset_N-bkg.spectral.tilt |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                     0.0 |                   0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 1.1133032082540209e-05 | 0.00013252929949269184 | 0.0 |
|      dataset_N-bkg.spectral.reference |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                     0.0 |                   0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
