|                     Parameters |                       0 |                       1 |   2 |                       3 |   4 |                       5 |                       6 |                     7 |                     8 |   9 |
|         Crablog.spectral.index |  0.00018325767638273924 | -3.5345532279546667e-15 | 0.0 |  -6.638977344987072e-05 | 0.0 |   3.555003938601209e-09 | -1.1404953224106076e-09 |                   0.0 |                   0.0 | 0.0 |
|     Crablog.spectral.amplitude | -3.5345532279546667e-15 |  1.4473492311651506e-25 | 0.0 |  1.8640170681385592e-15 | 0.0 |  -5.997463198556842e-19 |   2.050212449255642e-19 |                   0.0 |                   0.0 | 0.0 |
|     Crablog.spectral.reference |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 |                   0.0 |                   0.0 | 0.0 |
|       Crablog.spectral.lambda_ |  -6.638977344987072e-05 |  1.8640170681385592e-15 | 0.0 |  3.4222037460928374e-05 | 0.0 | -1.8971852117704218e-13 |   2.706442584717578e-10 |                   0.0 |                   0.0 | 0.0 |
|         Crablog.spectral.alpha |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 |                   0.0 |                   0.0 | 0.0 |
|          Crablog.spatial.lon_0 |   3.555003938601209e-09 |  -5.997463198556842e-19 | 0.0 | -1.8971852117704218e-13 | 0.0 |  1.1231256505139696e-07 | -1.3053937679738409e-11 |                   0.0 |                   0.0 | 0.0 |
|          Crablog.spatial.lat_0 | -1.1404953224106076e-09 |   2.050212449255642e-19 | 0.0 |   2.706442584717578e-10 | 0.0 | -1.3053937679738409e-11 |   8.419588514863714e-08 |                   0.0 |                   0.0 | 0.0 |
|      dataset-bkg.spectral.norm |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 1.231724247627504e-05 | -4.89054563543537e-07 | 0.0 |
|      dataset-bkg.spectral.tilt |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | -4.89054563543537e-07 | 1.795759917116977e-05 | 0.0 |
| dataset-bkg.spectral.reference |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 |                   0.0 |                   0.0 | 0.0 |
