|                     Parameters |                      0 |                      1 |   2 |                      3 |   4 |                      5 |                      6 |                      7 |                      8 |   9 |
|         Crablog.spectral.index |   0.006817542566142757 | -1.435997575894384e-13 | 0.0 | -0.0023991237703746317 | 0.0 |  6.855635459702165e-07 | -1.199763709006602e-06 |                    0.0 |                    0.0 | 0.0 |
|     Crablog.spectral.amplitude | -1.435997575894384e-13 | 5.9873296498661734e-24 | 0.0 |  7.537876179709518e-14 | 0.0 |   -4.1284136272667e-17 |  7.108439123582671e-18 |                    0.0 |                    0.0 | 0.0 |
|     Crablog.spectral.reference |                    0.0 |                    0.0 | 0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 |                    0.0 |                    0.0 | 0.0 |
|       Crablog.spectral.lambda_ | -0.0023991237703746317 |  7.537876179709518e-14 | 0.0 |  0.0013680575380676033 | 0.0 | -2.855130877569878e-07 | 3.2008761909902635e-07 |                    0.0 |                    0.0 | 0.0 |
|         Crablog.spectral.alpha |                    0.0 |                    0.0 | 0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 |                    0.0 |                    0.0 | 0.0 |
|          Crablog.spatial.lon_0 |  6.855635459702165e-07 |   -4.1284136272667e-17 | 0.0 | -2.855130877569878e-07 | 0.0 |  5.309483784637723e-06 | -3.634986401011124e-08 |                    0.0 |                    0.0 | 0.0 |
|          Crablog.spatial.lat_0 | -1.199763709006602e-06 |  7.108439123582671e-18 | 0.0 | 3.2008761909902635e-07 | 0.0 | -3.634986401011124e-08 |  3.897865091228461e-06 |                    0.0 |                    0.0 | 0.0 |
|      dataset-bkg.spectral.norm |                    0.0 |                    0.0 | 0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 | 0.00011553762811484023 |  7.965249985045982e-06 | 0.0 |
|      dataset-bkg.spectral.tilt |                    0.0 |                    0.0 | 0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 |  7.965249985045982e-06 | 0.00013628322956071197 | 0.0 |
| dataset-bkg.spectral.reference |                    0.0 |                    0.0 | 0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 |                    0.0 |                    0.0 | 0.0 |
