|                     Parameters |                      0 |                       1 |   2 |                      3 |   4 |                       5 |                       6 |                      7 |                     8 |   9 |
|         Crablog.spectral.index |   0.005818555244441526 |  -7.987226584653775e-14 | 0.0 | -0.0014957425621679005 | 0.0 |  -2.288741338517723e-06 |  -5.422996627998806e-07 |                    0.0 |                   0.0 | 0.0 |
|     Crablog.spectral.amplitude | -7.987226584653775e-14 |  3.2478284971677343e-24 | 0.0 | 3.5198090782097396e-14 | 0.0 |   -3.07363272819247e-18 | -2.1720244225958513e-17 |                    0.0 |                   0.0 | 0.0 |
|     Crablog.spectral.reference |                    0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                     0.0 |                    0.0 |                   0.0 | 0.0 |
|       Crablog.spectral.lambda_ | -0.0014957425621679005 |  3.5198090782097396e-14 | 0.0 |  0.0007113282272088859 | 0.0 |  2.9326510342058876e-07 |  1.0026158703943622e-07 |                    0.0 |                   0.0 | 0.0 |
|         Crablog.spectral.alpha |                    0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                     0.0 |                    0.0 |                   0.0 | 0.0 |
|          Crablog.spatial.lon_0 | -2.288741338517723e-06 |   -3.07363272819247e-18 | 0.0 | 2.9326510342058876e-07 | 0.0 |   5.847404628985695e-06 | -4.0019583667763996e-08 |                    0.0 |                   0.0 | 0.0 |
|          Crablog.spatial.lat_0 | -5.422996627998806e-07 | -2.1720244225958513e-17 | 0.0 | 1.0026158703943622e-07 | 0.0 | -4.0019583667763996e-08 |    4.37058437502342e-06 |                    0.0 |                   0.0 | 0.0 |
|      dataset-bkg.spectral.norm |                    0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                     0.0 | 0.00011498692938961874 | 9.297747995093652e-06 | 0.0 |
|      dataset-bkg.spectral.tilt |                    0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                     0.0 |  9.297747995093652e-06 | 0.0001348581840481889 | 0.0 |
| dataset-bkg.spectral.reference |                    0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                     0.0 |                    0.0 |                   0.0 | 0.0 |
