|                     Parameters |                       0 |                       1 |   2 |                      3 |   4 |                       5 |                       6 |                      7 |                     8 |   9 |
|         Crablog.spectral.index |    0.008407665368206056 | -1.6062835465211935e-13 | 0.0 |  -0.003079872568628753 | 0.0 |   6.425614813897312e-07 | -2.2032230718441062e-07 |                    0.0 |                   0.0 | 0.0 |
|     Crablog.spectral.amplitude | -1.6062835465211935e-13 |    5.77656661233457e-24 | 0.0 |  8.618837641200055e-14 | 0.0 | -3.5682701001353066e-17 |  -2.968098339736469e-17 |                    0.0 |                   0.0 | 0.0 |
|     Crablog.spectral.reference |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                     0.0 |                    0.0 |                   0.0 | 0.0 |
|       Crablog.spectral.lambda_ |   -0.003079872568628753 |   8.618837641200055e-14 | 0.0 |  0.0018037058681283106 | 0.0 |  -4.031583847922278e-07 |  -8.984117465439497e-07 |                    0.0 |                   0.0 | 0.0 |
|         Crablog.spectral.alpha |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                     0.0 |                    0.0 |                   0.0 | 0.0 |
|          Crablog.spatial.lon_0 |   6.425614813897312e-07 | -3.5682701001353066e-17 | 0.0 | -4.031583847922278e-07 | 0.0 |   6.299416124940854e-06 |     4.5477348177231e-08 |                    0.0 |                   0.0 | 0.0 |
|          Crablog.spatial.lat_0 | -2.2032230718441062e-07 |  -2.968098339736469e-17 | 0.0 | -8.984117465439497e-07 | 0.0 |     4.5477348177231e-08 |   4.746338877163473e-06 |                    0.0 |                   0.0 | 0.0 |
|      dataset-bkg.spectral.norm |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                     0.0 | 0.00011585069093312984 | 7.554001605632263e-06 | 0.0 |
|      dataset-bkg.spectral.tilt |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                     0.0 |  7.554001605632263e-06 | 0.0001359003118638993 | 0.0 |
| dataset-bkg.spectral.reference |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                     0.0 |                    0.0 |                   0.0 | 0.0 |
