|                     Parameters |                       0 |                       1 |   2 |                      3 |   4 |                      5 |                       6 |                      7 |                      8 |   9 |
|         Crablog.spectral.index |    0.008012303900988723 | -1.5368911223180745e-13 | 0.0 | -0.0028986537169641818 | 0.0 | -8.723180104179794e-09 | -1.0950855889165832e-06 |                    0.0 |                    0.0 | 0.0 |
|     Crablog.spectral.amplitude | -1.5368911223180745e-13 |   6.521143509582114e-24 | 0.0 |  8.332531406142116e-14 | 0.0 | 1.8115465769284572e-17 |  3.2550983902038316e-17 |                    0.0 |                    0.0 | 0.0 |
|     Crablog.spectral.reference |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                    0.0 |                     0.0 |                    0.0 |                    0.0 | 0.0 |
|       Crablog.spectral.lambda_ |  -0.0028986537169641818 |   8.332531406142116e-14 | 0.0 |   0.001535002533996942 | 0.0 | 4.3415479313794136e-07 |   4.378510523841892e-07 |                    0.0 |                    0.0 | 0.0 |
|         Crablog.spectral.alpha |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                    0.0 |                     0.0 |                    0.0 |                    0.0 | 0.0 |
|          Crablog.spatial.lon_0 |  -8.723180104179794e-09 |  1.8115465769284572e-17 | 0.0 | 4.3415479313794136e-07 | 0.0 | 5.3198102520234965e-06 |  -2.613039703337474e-08 |                    0.0 |                    0.0 | 0.0 |
|          Crablog.spatial.lat_0 | -1.0950855889165832e-06 |  3.2550983902038316e-17 | 0.0 |  4.378510523841892e-07 | 0.0 | -2.613039703337474e-08 |  3.8913217925308235e-06 |                    0.0 |                    0.0 | 0.0 |
|      dataset-bkg.spectral.norm |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                    0.0 |                     0.0 | 0.00011588950878681415 |   9.03623993837141e-06 | 0.0 |
|      dataset-bkg.spectral.tilt |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                    0.0 |                     0.0 |   9.03623993837141e-06 | 0.00013375207088500867 | 0.0 |
| dataset-bkg.spectral.reference |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                    0.0 |                     0.0 |                    0.0 |                    0.0 | 0.0 |
