|                     Parameters |                       0 |                      1 |   2 |                       3 |   4 |                       5 |                       6 |                      7 |                      8 |   9 |
|         Crablog.spectral.index |    0.007923897302347145 | -1.558078792822147e-13 | 0.0 |  -0.0028790225543924883 | 0.0 | -4.7543800231134473e-07 |    4.59687691728188e-07 |                    0.0 |                    0.0 | 0.0 |
|     Crablog.spectral.amplitude |  -1.558078792822147e-13 |  7.074714315089015e-24 | 0.0 |   8.647535755390556e-14 | 0.0 |  -2.936438448984735e-17 |   4.041423382165886e-17 |                    0.0 |                    0.0 | 0.0 |
|     Crablog.spectral.reference |                     0.0 |                    0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 |                    0.0 |                    0.0 | 0.0 |
|       Crablog.spectral.lambda_ |  -0.0028790225543924883 |  8.647535755390556e-14 | 0.0 |   0.0015313990434825467 | 0.0 |   5.492371687691829e-08 | -1.0306973568127962e-07 |                    0.0 |                    0.0 | 0.0 |
|         Crablog.spectral.alpha |                     0.0 |                    0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 |                    0.0 |                    0.0 | 0.0 |
|          Crablog.spatial.lon_0 | -4.7543800231134473e-07 | -2.936438448984735e-17 | 0.0 |   5.492371687691829e-08 | 0.0 |   4.975913838430605e-06 |    6.16370173553646e-08 |                    0.0 |                    0.0 | 0.0 |
|          Crablog.spatial.lat_0 |    4.59687691728188e-07 |  4.041423382165886e-17 | 0.0 | -1.0306973568127962e-07 | 0.0 |    6.16370173553646e-08 |     3.8289302825062e-06 |                    0.0 |                    0.0 | 0.0 |
|      dataset-bkg.spectral.norm |                     0.0 |                    0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.00011686731606187904 | 1.1613611933677288e-05 | 0.0 |
|      dataset-bkg.spectral.tilt |                     0.0 |                    0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 1.1613611933677288e-05 | 0.00012965006261116474 | 0.0 |
| dataset-bkg.spectral.reference |                     0.0 |                    0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 |                    0.0 |                    0.0 | 0.0 |
