|                     Parameters |                       0 |                       1 |   2 |                      3 |   4 |                       5 |                      6 |                      7 |                      8 |   9 |
|         Crablog.spectral.index |    0.009165636233616672 | -1.8486167634800422e-13 | 0.0 | -0.0035442130267409363 | 0.0 | -2.1237689218568146e-07 |  4.359221419176357e-07 |                    0.0 |                    0.0 | 0.0 |
|     Crablog.spectral.amplitude | -1.8486167634800422e-13 |   7.610876531299956e-24 | 0.0 | 1.0406181738057024e-13 | 0.0 | -2.9412687409049006e-17 |  5.689989154409524e-17 |                    0.0 |                    0.0 | 0.0 |
|     Crablog.spectral.reference |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                    0.0 |                    0.0 |                    0.0 | 0.0 |
|       Crablog.spectral.lambda_ |  -0.0035442130267409363 |  1.0406181738057024e-13 | 0.0 |  0.0019501055643288772 | 0.0 |    4.80422364580471e-08 | 4.3349878970249753e-07 |                    0.0 |                    0.0 | 0.0 |
|         Crablog.spectral.alpha |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                    0.0 |                    0.0 |                    0.0 | 0.0 |
|          Crablog.spatial.lon_0 | -2.1237689218568146e-07 | -2.9412687409049006e-17 | 0.0 |   4.80422364580471e-08 | 0.0 |  5.1644183491397075e-06 | -9.274517576776447e-08 |                    0.0 |                    0.0 | 0.0 |
|          Crablog.spatial.lat_0 |   4.359221419176357e-07 |   5.689989154409524e-17 | 0.0 | 4.3349878970249753e-07 | 0.0 |  -9.274517576776447e-08 |  4.043808722452047e-06 |                    0.0 |                    0.0 | 0.0 |
|      dataset-bkg.spectral.norm |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                    0.0 | 0.00011548884276267722 |    7.5455706920721e-06 | 0.0 |
|      dataset-bkg.spectral.tilt |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                    0.0 |    7.5455706920721e-06 | 0.00013621059966603728 | 0.0 |
| dataset-bkg.spectral.reference |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                    0.0 |                    0.0 |                    0.0 | 0.0 |
